id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,United Nations Secretariat,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.un.org/
18,UNODC,UN & Multilateral,UN & Multilateral,Global,"Vienna, Austria",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unodc.org/unodc/en/about-unodc/employment-opportunities.html
19,UNCDF,UN & Multilateral,UN & Multilateral,Global,"New York, USA",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.uncdf.org/careers
20,International Telecommunication Union,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.itu.int/en/careers/
21,WIPO,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.wipo.int/jobs/en/
22,IAEA,UN & Multilateral,UN & Multilateral,Global,"Vienna, Austria",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.iaea.org/about/employment
23,International Maritime Organization,UN & Multilateral,UN & Multilateral,Global,"London, UK",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.imo.org/en/About/CareersAtIMO/Pages/Default.aspx
24,UN Volunteers,UN & Multilateral,UN & Multilateral,Global,"Bonn, Germany",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unv.org/become-volunteer
25,UN Tourism,UN & Multilateral,UN & Multilateral,Global,"Madrid, Spain",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.unwto.org/employment
26,UNCTAD,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://unctad.org/about/careers
27,UN Economic Commission for Africa,UN & Multilateral,UN & Multilateral,Africa,"Addis Ababa, Ethiopia",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.uneca.org/careers
28,African Union,UN & Multilateral,UN & Multilateral,Africa,"Addis Ababa, Ethiopia",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.au.int/
29,AUDA-NEPAD,UN & Multilateral,UN & Multilateral,Africa,"Midrand, South Africa",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.nepad.org/careers
30,European Commission,UN & Multilateral,UN & Multilateral,Europe / EMEA,"Brussels, Belgium",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://commission.europa.eu/jobs-european-commission_en
31,European External Action Service,UN & Multilateral,UN & Multilateral,Global,"Brussels, Belgium",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.eeas.europa.eu/eeas/vacancies_en
32,OECD,UN & Multilateral,UN & Multilateral,Global,"Paris, France",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.oecd.org/careers/
33,World Trade Organization,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.wto.org/english/thewto_e/vacan_e/vacan_e.htm
34,Commonwealth Secretariat,UN & Multilateral,UN & Multilateral,Global,"London, UK",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://thecommonwealth.org/jobs
35,Council of Europe,UN & Multilateral,UN & Multilateral,Europe / EMEA,"Strasbourg, France",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.coe.int/en/web/jobs
36,INTERPOL,UN & Multilateral,UN & Multilateral,Global,"Lyon, France",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.interpol.int/What-you-can-do/Careers
37,NATO,UN & Multilateral,UN & Multilateral,Global,"Brussels, Belgium",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.nato.int/cps/en/natohq/recruit-wide.htm
38,Organization of Islamic Cooperation,UN & Multilateral,UN & Multilateral,GCC & Middle East,"Jeddah, Saudi Arabia",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.oic-oci.org/page/?p_id=171&p_ref=59&lan=en
39,International Federation of Red Cross and Red Crescent Societies,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://www.ifrc.org/jobs
40,International Committee of the Red Cross,UN & Multilateral,UN & Multilateral,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics,,https://careers.icrc.org/
41,World Bank Group,Development Banks & Finance,Development Banks & Finance,Global,"Washington, DC, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.worldbank.org/en/about/careers
42,International Finance Corporation,Development Banks & Finance,Development Banks & Finance,Global,"Washington, DC, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.ifc.org/en/about/careers
43,Multilateral Investment Guarantee Agency,Development Banks & Finance,Development Banks & Finance,Global,"Washington, DC, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.miga.org/careers
44,African Development Bank,Development Banks & Finance,Development Banks & Finance,Africa,"Abidjan, Côte d’Ivoire",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.afdb.org/en/about-us/careers
45,African Export-Import Bank,Development Banks & Finance,Development Banks & Finance,Africa,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.afreximbank.com/careers/
46,Africa Finance Corporation,Development Banks & Finance,Development Banks & Finance,Africa,"Lagos, Nigeria",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.africafc.org/careers
47,Trade and Development Bank Group,Development Banks & Finance,Development Banks & Finance,Africa,"Nairobi, Kenya",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.tdbgroup.org/careers/
48,Development Bank of Southern Africa,Development Banks & Finance,Development Banks & Finance,Africa,"Midrand, South Africa",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.dbsa.org/careers
49,European Bank for Reconstruction and Development,Development Banks & Finance,Development Banks & Finance,Global,"London, UK",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.ebrd.com/careers.html
50,European Investment Bank,Development Banks & Finance,Development Banks & Finance,Global,Luxembourg,,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.eib.org/en/about/careers/index
51,Asian Development Bank,Development Banks & Finance,Development Banks & Finance,Asia / APAC,"Manila, Philippines",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.adb.org/work-with-us/careers
52,Asian Infrastructure Investment Bank,Development Banks & Finance,Development Banks & Finance,Asia / APAC,"Beijing, China",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.aiib.org/en/opportunities/career/index.html
53,Inter-American Development Bank,Development Banks & Finance,Development Banks & Finance,Americas,"Washington, DC, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.iadb.org/en/careers
54,Islamic Development Bank,Development Banks & Finance,Development Banks & Finance,Global,"Jeddah, Saudi Arabia",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.isdb.org/careers
55,New Development Bank,Development Banks & Finance,Development Banks & Finance,Global,"Shanghai, China",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.ndb.int/career/
56,International Monetary Fund,Development Banks & Finance,Development Banks & Finance,Global,"Washington, DC, USA",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.imf.org/en/About/Recruitment
57,Bank for International Settlements,Development Banks & Finance,Development Banks & Finance,Global,"Basel, Switzerland",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.bis.org/careers/index.htm
58,European Central Bank,Development Banks & Finance,Development Banks & Finance,Europe / EMEA,"Frankfurt, Germany",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.ecb.europa.eu/careers/html/index.en.html
59,Central Bank of Egypt,Development Banks & Finance,Development Banks & Finance,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.cbe.org.eg/en/careers
60,Arab African International Bank,Development Banks & Finance,Development Banks & Finance,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.aaib.com/careers
61,Banque Misr,Development Banks & Finance,Development Banks & Finance,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.banquemisr.com/en/Home/ABOUT-US/Careers
62,Commercial International Bank Egypt,Development Banks & Finance,Development Banks & Finance,GCC & Middle East,"Cairo, Egypt",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.cibeg.com/en/careers
63,QNB Group,Development Banks & Finance,Development Banks & Finance,GCC & Middle East,"Doha, Qatar",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.qnb.com/sites/qnb/qnbglobal/page/en/encareers.html
64,Standard Chartered,Development Banks & Finance,Development Banks & Finance,Global,"London, UK",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.sc.com/en/global-careers/
65,HSBC,Development Banks & Finance,Development Banks & Finance,Global,"London, UK",,High,Not Available,,2026-07-20,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms,,https://www.hsbc.com/careers
66,Médecins Sans Frontières,International NGOs,International NGOs,Global,"Geneva, Switzerland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.msf.org/work-msf
67,CARE International,International NGOs,International NGOs,Global,"Geneva, Switzerland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.care-international.org/jobs
68,International Rescue Committee,International NGOs,International NGOs,Global,"New York, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://careers.rescue.org/
69,Norwegian Refugee Council,International NGOs,International NGOs,Global,"Oslo, Norway",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.nrc.no/careers/
70,Danish Refugee Council,International NGOs,International NGOs,Global,"Copenhagen, Denmark",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://job.drc.ngo/
71,Save the Children International,International NGOs,International NGOs,Global,"London, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://jobs.savethechildren.net/
72,World Vision International,International NGOs,International NGOs,Global,"London, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.wvi.org/careers
73,Oxfam International,International NGOs,International NGOs,Global,"Nairobi, Kenya",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.oxfam.org/en/take-action/jobs
74,Mercy Corps,International NGOs,International NGOs,Global,"Portland, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.mercycorps.org/careers
75,Catholic Relief Services,International NGOs,International NGOs,Global,"Baltimore, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.crs.org/about/careers
76,Action Against Hunger,International NGOs,International NGOs,Global,"Paris, France",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.actionagainsthunger.org/careers/
77,ACTED,International NGOs,International NGOs,Global,"Paris, France",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.acted.org/en/join-us/
78,International Medical Corps,International NGOs,International NGOs,Global,"Los Angeles, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://careers.internationalmedicalcorps.org/
79,Relief International,International NGOs,International NGOs,Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.ri.org/careers/
80,Islamic Relief Worldwide,International NGOs,International NGOs,Global,"Birmingham, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.islamic-relief.org.uk/about-us/jobs/
81,Tearfund,International NGOs,International NGOs,Global,"Teddington, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.tearfund.org/about-us/jobs
82,Medair,International NGOs,International NGOs,Global,"Ecublens, Switzerland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.medair.org/jobs
83,HIAS,International NGOs,International NGOs,Global,"Silver Spring, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://hias.org/careers/
84,Sightsavers,International NGOs,International NGOs,Global,"Haywards Heath, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.sightsavers.org/jobs/
85,CBM Global Disability Inclusion,International NGOs,International NGOs,Global,"Bensheim, Germany",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://cbm-global.org/careers
86,Habitat for Humanity International,International NGOs,International NGOs,Global,"Atlanta, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.habitat.org/about/careers
87,Practical Action,International NGOs,International NGOs,Global,"Rugby, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://practicalaction.org/careers/
88,Plan International,International NGOs,International NGOs,Global,"Woking, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://jobs.plan-international.org/
89,Concern Worldwide,International NGOs,International NGOs,Global,"Dublin, Ireland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://jobs.concern.net/
90,GOAL,International NGOs,International NGOs,Global,"Dublin, Ireland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.goalglobal.org/careers/
91,Welthungerhilfe,International NGOs,International NGOs,Global,"Bonn, Germany",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.welthungerhilfe.org/about-us/jobs
92,People in Need,International NGOs,International NGOs,Global,"Prague, Czechia",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.peopleinneed.net/career
93,Norwegian Church Aid,International NGOs,International NGOs,Global,"Oslo, Norway",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.kirkensnodhjelp.no/en/about-nca/work-with-us/
94,Finn Church Aid,International NGOs,International NGOs,Global,"Helsinki, Finland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.kirkonulkomaanapu.fi/en/work-with-us/
95,Swisscontact,International NGOs,International NGOs,Global,"Zurich, Switzerland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.swisscontact.org/en/about-us/jobs
96,Helvetas,International NGOs,International NGOs,Global,"Zurich, Switzerland",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.helvetas.org/en/switzerland/who-we-are/jobs
97,TechnoServe,International NGOs,International NGOs,Global,"Arlington, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.technoserve.org/careers/
98,One Acre Fund,International NGOs,International NGOs,Africa,"Kigali, Rwanda",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://oneacrefund.org/careers
99,BRAC,International NGOs,International NGOs,Global,"Dhaka, Bangladesh",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://careers.brac.net/
100,Pact,International NGOs,International NGOs,Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.pactworld.org/careers
101,Winrock International,International NGOs,International NGOs,Global,"Arlington, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://winrock.org/careers/
102,FHI 360,International NGOs,International NGOs,Global,"Durham, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.fhi360.org/careers
103,Jhpiego,International NGOs,International NGOs,Global,"Baltimore, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.jhpiego.org/careers/
104,Management Sciences for Health,International NGOs,International NGOs,Global,"Arlington, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://msh.org/careers/
105,Population Services International,International NGOs,International NGOs,Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.psi.org/careers/
106,Abt Global,International NGOs,International NGOs,Global,"Rockville, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.abtglobal.com/careers
107,Chemonics International,International NGOs,International NGOs,Global,"Washington, DC, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.chemonics.com/careers/
108,DAI,International NGOs,International NGOs,Global,"Bethesda, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.dai.com/careers
109,Palladium,International NGOs,International NGOs,Global,"London, UK",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://thepalladiumgroup.com/careers
110,RTI International,International NGOs,International NGOs,Global,"Research Triangle Park, USA",,Medium,Not Available,,2026-07-20,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations,,https://www.rti.org/careers
111,PATH,Global Health & Healthcare,Global Health & Healthcare,Global,"Seattle, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.path.org/jobs/
112,Clinton Health Access Initiative,Global Health & Healthcare,Global Health & Healthcare,Global,"Boston, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.clintonhealthaccess.org/careers
113,"Gavi, the Vaccine Alliance",Global Health & Healthcare,Global Health & Healthcare,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.gavi.org/our-alliance/careers
114,The Global Fund,Global Health & Healthcare,Global Health & Healthcare,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.theglobalfund.org/en/careers/
115,Unitaid,Global Health & Healthcare,Global Health & Healthcare,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://unitaid.org/vacancies/
116,CEPI,Global Health & Healthcare,Global Health & Healthcare,Global,"Oslo, Norway",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://cepi.net/careers
117,FIND,Global Health & Healthcare,Global Health & Healthcare,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.finddx.org/careers/
118,DNDi,Global Health & Healthcare,Global Health & Healthcare,Global,"Geneva, Switzerland",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://dndi.org/about/jobs/
119,Partners In Health,Global Health & Healthcare,Global Health & Healthcare,Global,"Boston, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://www.pih.org/pages/employment
120,Last Mile Health,Global Health & Healthcare,Global Health & Healthcare,Africa,"Boston, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://lastmilehealth.org/careers/
121,Elizabeth Glaser Pediatric AIDS Foundation,Global Health & Healthcare,Global Health & Healthcare,Africa,"Washington, DC, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://pedaids.org/about/careers/
122,Resolve to Save Lives,Global Health & Healthcare,Global Health & Healthcare,Global,"New York, USA",,High,Not Available,,2026-07-20,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms,,https://resolvetosavelives.org/about/careers
