id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
1,Pfizer,Global Pharmaceuticals,Global Pharmaceuticals,Global,"New York, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.pfizer.com/about/careers
12,Takeda Pharmaceutical,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.takeda.com/
13,Bayer Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Leverkusen, Germany",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://career.bayer.com/
14,Boehringer Ingelheim,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Ingelheim, Germany",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.boehringer-ingelheim.com/
15,Novo Nordisk,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Bagsværd, Denmark",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.novonordisk.com/careers.html
16,Teva Pharmaceutical Industries,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tel Aviv, Israel",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.teva/
17,Astellas Pharma,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.astellas.com/en/careers
18,Otsuka Pharmaceutical,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.otsuka.com/en/careers/
19,Daiichi Sankyo,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.daiichisankyo.com/careers/
20,Eisai,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.eisai.com/careers/index.html
21,Chugai Pharmaceutical,Global Pharmaceuticals,Global Pharmaceuticals,Asia / APAC,"Tokyo, Japan",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.chugai-pharm.co.jp/english/recruit/
22,Sandoz,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Basel, Switzerland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.sandoz.com/careers
23,Viatris,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Canonsburg, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.viatris.com/en/careers
24,Organon,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Jersey City, USA",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.organon.com/careers/
25,CSL,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Melbourne, Australia",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.csl.com/careers
26,Grifols,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Barcelona, Spain",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.grifols.com/en/careers
27,UCB,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Brussels, Belgium",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.ucb.com/
28,Ipsen,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Boulogne-Billancourt, France",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.ipsen.com/
29,Servier,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Suresnes, France",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://servier.com/en/join-us/
30,Pierre Fabre,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Castres, France",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.pierre-fabre.com/en/careers
31,Lundbeck,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Valby, Denmark",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.lundbeck.com/global/careers
32,Almirall,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Barcelona, Spain",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.almirall.com/
33,Recordati,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Milan, Italy",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.recordati.com/careers/
34,Menarini Group,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Florence, Italy",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.menarini.com/en-us/careers
35,Sun Pharmaceutical Industries,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://sunpharma.com/careers/
36,Dr. Reddy's Laboratories,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Hyderabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://careers.drreddys.com/
37,Cipla,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.cipla.com/careers
38,Lupin,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.lupin.com/careers/
39,Zydus Lifesciences,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Ahmedabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.zyduslife.com/careers.html
40,Aurobindo Pharma,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Hyderabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.aurobindo.com/careers/
41,Torrent Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Ahmedabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.torrentpharma.com/careers.php
42,Glenmark Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://glenmarkpharma.com/careers/
43,Alkem Laboratories,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.alkemlabs.com/careers
44,Intas Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Ahmedabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.intaspharma.com/careers/
45,Biocon,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Bengaluru, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.biocon.com/careers/
46,Gedeon Richter,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Budapest, Hungary",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.gedeonrichter.com/en/career
47,STADA,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Bad Vilbel, Germany",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.stada.com/
48,Krka,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Novo Mesto, Slovenia",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.krka.biz/en/careers/
49,Orion Corporation,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Espoo, Finland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.orion.fi/en/careers/
50,LEO Pharma,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Ballerup, Denmark",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.leo-pharma.com/careers
51,Fresenius Kabi,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Bad Homburg, Germany",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://karriere.fresenius.de/en-US
52,Hikma Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"London, UK",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.hikma.com/careers/
53,Julphar,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"Ras Al Khaimah, UAE",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.julphar.net/en/careers
54,SPIMACO,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"Riyadh, Saudi Arabia",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.spimaco.com.sa/careers/
55,Avalon Pharma,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"Riyadh, Saudi Arabia",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://avalonpharmaceutical.com/careers/
56,Neopharma,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"Abu Dhabi, UAE",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.neopharma.com/careers/
57,Globalpharma,Global Pharmaceuticals,Global Pharmaceuticals,GCC & Middle East,"Dubai, UAE",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://globalpharma.ae/
58,Acino,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Zurich, Switzerland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://acino.swiss/careers/
59,Aspen Pharmacare,Global Pharmaceuticals,Global Pharmaceuticals,Africa,"Durban, South Africa",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.aspenpharma.com/careers/
60,Adcock Ingram,Global Pharmaceuticals,Global Pharmaceuticals,Africa,"Johannesburg, South Africa",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.adcock.co.za/careers/
61,Emcure Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Pune, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.emcure.com/careers/
62,Alembic Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Vadodara, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://alembicpharmaceuticals.com/careers/
63,Ajanta Pharma,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.ajantapharma.com/Careers.aspx
64,Macleods Pharmaceuticals,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.macleodspharma.com/careers/
65,Hetero,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Hyderabad, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.heteroworld.com/careers
66,Wockhardt,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Mumbai, India",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.wockhardt.com/careers/
67,Pharmascience,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Montreal, Canada",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.pharmascience.com/careers/
68,Apotex,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Toronto, Canada",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.apotex.com/global/careers
69,Bausch Health,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Laval, Canada",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://jobs.bauschhealth.com/
70,Perrigo,Global Pharmaceuticals,Global Pharmaceuticals,Global,"Dublin, Ireland",,Medium,Not Available,,2026-07-20,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance,,https://www.perrigo.com/careers
71,Amgen,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Thousand Oaks, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.amgen.com/
72,Gilead Sciences,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Foster City, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.gilead.com/careers
73,Regeneron Pharmaceuticals,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Tarrytown, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.regeneron.com/
74,Moderna,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.modernatx.com/en-US/careers
75,BioNTech,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Mainz, Germany",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.biontech.com/
76,Biogen,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.biogen.com/
77,Vertex Pharmaceuticals,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Boston, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.vrtx.com/careers/
78,BeOne Medicines,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Basel, Switzerland",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://beonemedicines.com/careers/
79,Alnylam Pharmaceuticals,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.alnylam.com/careers
80,Incyte,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Wilmington, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.incyte.com/
81,argenx,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Ghent, Belgium",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.argenx.com/careers
82,BioMarin Pharmaceutical,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"San Rafael, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.biomarin.com/
83,Sarepta Therapeutics,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.sarepta.com/careers
84,CRISPR Therapeutics,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Zug, Switzerland",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.crisprtx.com/careers
85,Intellia Therapeutics,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.intelliatx.com/careers/
86,Editas Medicine,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.editasmedicine.com/careers/
87,Beam Therapeutics,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://beamtx.com/careers/
88,Ultragenyx Pharmaceutical,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Novato, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.ultragenyx.com/
89,Ascendis Pharma,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Hellerup, Denmark",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://ascendispharma.com/careers/
90,Genmab,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Copenhagen, Denmark",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.genmab.com/careers
91,Legend Biotech,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Somerset, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://legendbiotech.com/careers/
92,Zai Lab,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Shanghai, China",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.zailaboratory.com/careers/
93,Jazz Pharmaceuticals,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Dublin, Ireland",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.jazzpharma.com/
94,Neurocrine Biosciences,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"San Diego, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.neurocrine.com/
95,Exelixis,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Alameda, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.exelixis.com/careers/
96,Blueprint Medicines,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Cambridge, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.blueprintmedicines.com/careers/
97,Immunocore,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Abingdon, UK",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.immunocore.com/careers
98,Adaptive Biotechnologies,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Seattle, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.adaptivebiotech.com/careers/
99,AbCellera,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Vancouver, Canada",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.abcellera.com/careers
100,Recursion,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Salt Lake City, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.recursion.com/careers
101,Schrödinger,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"New York, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.schrodinger.com/careers/
102,Twist Bioscience,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"South San Francisco, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.twistbioscience.com/company/careers
103,Ginkgo Bioworks,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Boston, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://www.ginkgobioworks.com/careers/
104,Insmed,Biotechnology & Specialty Pharma,Biotechnology & Specialty Pharma,Global,"Bridgewater, USA",,Medium,Not Available,,2026-07-20,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management,,https://careers.insmed.com/
