id,title,organization,role_family,country,location,availability_status,published_date,last_checked,record_type,source_quality,match_score,url,notes
job-00025,Enterprise Architect,Element Solutions,Enterprise Architecture,United States,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,A,68,https://jobs.lever.co/elementsolutions/d19d53b2-af7b-483e-adac-eb4d326a885d,US government-contract environment
job-00026,Enterprise Architect - Banking,JODAYN,Enterprise Architecture,Saudi Arabia,Riyadh,Expired,,2026-07-20,Platform-Indexed Vacancy,B,68,https://sa.linkedin.com/jobs/view/enterprise-architect-banking-at-jodayn-%D8%AC%D9%88%D8%AF%D9%8A%D9%86-4412552306,Verify eligibility
job-00027,Government Affairs & Regional Public Affairs Head - KSA,Sanofi,Healthcare IT & Digital Health,Saudi Arabia,Riyadh,Expired,,2026-07-20,Platform-Indexed Vacancy,B,68,https://jobs.sanofi.com/en/job/riyadh/government-affairs-and-reginal-public-affairs-head-ksa/2649/40769505536,Arabic and English mandatory
job-00028,Pre-Sales Enterprise Architect,NTT DATA,Enterprise Architecture,Germany,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,B,68,https://www.remoterocketship.com/jobs/enterprise-architect/,Germany; German language likely required
job-00029,Architecture Advisor Expert,SAP,Enterprise Architecture,Egypt,Cairo,Possibly Available,2026-07-06,2026-07-20,Platform-Indexed Vacancy,B,67,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00030,Data Governance Lead,Intellias,Data Architecture & Governance,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4429998727/,Governance frameworks and data catalog experience
job-00031,Data Management Lead,SILO HUB,Data Architecture & Governance,Egypt,Heliopolis / Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4439744047/,Enterprise data strategy and stewardship
job-00032,Enterprise Architect,Veeam Software,Enterprise Architecture,Egypt,Egypt,Possibly Available,2026-07-13,2026-07-20,Platform-Indexed Vacancy,B,67,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00033,"Enterprise Architect, Commercial",Coca-Cola HBC,Enterprise Architecture,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://eg.linkedin.com/jobs/view/enterprise-architect-commercial-at-coca-cola-hbc-4436710502,Verify listing remains open
job-00034,"Enterprise Architect, Planning",Coca-Cola HBC,Enterprise Architecture,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4436716196/,Verify listing remains open
job-00035,ETIC Solution Architecture Director,PwC,Solution Architecture,Egypt,Cairo,Possibly Available,2026-07-06,2026-07-20,Platform-Indexed Vacancy,B,67,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00036,IT Enterprise Applications Architect,Confidential / LinkedIn listing,Enterprise Architecture,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4397919725/,Employer details may require sign-in
job-00037,Platform Architect - Employee Experience,Coca-Cola HBC,Enterprise Architecture,Egypt,New Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4413403409/,"SharePoint, Viva and Workday experience"
job-00038,Platform Architect - Manufacturing & Maintenance,Coca-Cola HBC,Enterprise Architecture,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4359796643/,SAP S/4HANA and manufacturing experience
job-00039,Senior Data Governance Specialist,SDG Group Middle East,Data Architecture & Governance,Egypt,Cairo,Expired,,2026-07-20,Platform-Indexed Vacancy,B,67,https://www.linkedin.com/jobs/view/4434543511/,Hands-on governance implementation
job-00040,Architect,Jobgether client,Enterprise Architecture,Turkey,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,A,66,https://jobs.lever.co/jobgether?location=Turkey,Remote role tied to Turkey
job-00041,Architect - AI Trainer,10x Team,Enterprise Architecture,Remote / Verify Countries,Fully remote freelance,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://jobs.ashbyhq.com/10xteam/f16425b1-895d-4103-9006-90a2ef8a27fa,Confirm accepted countries; 8–20 hours/week
job-00042,Business Architect,Ibility,Enterprise Architecture,United States / Verify,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,A,66,https://jobs.lever.co/ibility/b1c4684e-b4ee-42f3-9b6a-ec60cf9875fd,US-oriented role; TOGAF/FEAF experience requested
job-00043,Business Manager Digital Health (HealthCare IT),Siemens Healthineers,Healthcare IT & Digital Health,Saudi Arabia,Riyadh,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://jobs.siemens.com/nl_NL/externaljobs/JobDetail/513954,Saudi nationals
job-00044,Data Catalog & Data Governance Specialist,Jobgether client,Data Architecture & Governance,Belgium,Remote contract,Expired,,2026-07-20,Platform-Indexed Vacancy,A,66,https://jobs.lever.co/jobgether?location=Belgium,Belgium-based contract
job-00045,Enterprise Architect,FNRCO,Enterprise Architecture,Saudi Arabia,Riyadh,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://www.linkedin.com/jobs/view/4339458055/,Verify eligibility
job-00046,Enterprise Architect,Oman Housing Bank,Enterprise Architecture,Oman,Muscat,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://om.linkedin.com/jobs/view/enterprise-architect-at-oman-housing-bank-%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D8%A7%D9%86-%D8%A7%D9%84%D8%B9%D9%8F%D9%85%D8%A7%D9%86%D9%8A-4438960983,Verify eligibility
job-00047,Enterprise Architect,KalSoft,Enterprise Architecture,Oman,Muscat,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://om.linkedin.com/jobs/view/enterprise-architect-at-kalsoft-4429849156,Verify eligibility
job-00048,Enterprise Architect,Best Buy Canada,Enterprise Architecture,Canada,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://www.remoterocketship.com/jobs/enterprise-architect/,Canada remote
job-00049,Enterprise Architect,Wandelbots,Enterprise Architecture,Germany,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://www.remoterocketship.com/jobs/enterprise-architect/,Germany remote
job-00050,Enterprise Architect - P&C Insurance,Al-Futtaim / Orient Insurance,Enterprise Architecture,United Arab Emirates,Dubai,Expired,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,66,https://www.linkedin.com/jobs/view/4400399857/,P&C insurance experience preferred
job-00051,Enterprise Architecture Manager,Linnk Group,Enterprise Architecture,Saudi Arabia,Riyadh,Possibly Available,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,66,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00052,Enterprise Solutions Architect - Presales Expert,DXC Technology,Enterprise Architecture,Saudi Arabia,Riyadh,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://sa.linkedin.com/jobs/view/enterprise-solutions-architect-presales-expert-at-dxc-technology-4427443223,
job-00053,Enterprise Solutions Architect - Presales Expert,DXC Technology,Enterprise Architecture,United Arab Emirates,Dubai,Possibly Available,2026-07-18,2026-07-20,Platform-Indexed Vacancy,B,66,https://ae.linkedin.com/jobs/view/enterprise-solutions-architect-presales-expert-at-dxc-technology-4427440228,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00054,Information Systems - Open Source Technical Architect,Canonical,Enterprise Architecture,Worldwide / Verify,Home-based,Expired,,2026-07-20,Platform-Indexed Vacancy,A,66,https://canonical.com/careers/4551832,Confirm supported hiring country during application
job-00055,Key Account Manager - Diagnostics Laboratory,Siemens Healthineers,Healthcare IT & Digital Health,Saudi Arabia,Riyadh,Expired,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,66,https://jobs.siemens-healthineers.com/de_DE/searchjobs/JobDetail/511930,Saudi nationals only
job-00056,Laboratory Manager,M42 Health,Healthcare IT & Digital Health,United Arab Emirates,Abu Dhabi,Expired,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,66,https://ae.linkedin.com/jobs/view/laboratory-manager-at-m42-health-4187981228,Laboratory-management experience required
job-00057,Manager Enterprise Architect,Emirates Group,Enterprise Architecture,United Arab Emirates,Dubai,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://www.emiratesgroupcareers.com/search-and-apply/24681,Verify page remains open
job-00058,"Manager, Enterprise Architecture",Adobe,Enterprise Architecture,United States,Remote,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://careers.adobe.com/us/en/job/R167331/Manager-Enterprise-Architecture,Remote California / US eligibility
job-00059,Oracle Enterprise Architect,Oracle,Enterprise Architecture,Kuwait,Kuwait City,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://kw.linkedin.com/jobs/view/oracle-enterprise-architect-at-oracle-4071700994,Verify eligibility
job-00060,Principal Enterprise Architect,Landmark Group,Enterprise Architecture,United Arab Emirates,Dubai,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://ae.linkedin.com/jobs/view/principal-enterprise-architect-at-landmark-group-4425794046,Verify eligibility
job-00061,Senior Digital Architect,QatarEnergy,Enterprise Architecture,Qatar,Doha,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://careerportal.qatarenergy.qa/jobs,Verify detailed eligibility
job-00062,Senior Manager - Enterprise Architect,Mace,Enterprise Architecture,Saudi Arabia,Riyadh,Possibly Available,2026-07-15,2026-07-20,Platform-Indexed Vacancy,B,66,https://sa.linkedin.com/jobs/senior-manager-consulting-services-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00063,"Senior Manager, Enterprise Architecture",Adobe,Enterprise Architecture,United States,Remote / Flexible,Expired,,2026-07-20,Platform-Indexed Vacancy,B,66,https://careers.adobe.com/us/en/job/R168299/Senior-Manager-of-Enterprise-Architecture,US hiring eligibility
job-00064,Solution Architect - Enterprise,Riyadh Air,Solution Architecture,Saudi Arabia,Riyadh,Possibly Available,2026-07-06,2026-07-20,Platform-Indexed Vacancy,B,66,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00065,Solution Enterprise Architect,CoorB,Enterprise Architecture,Saudi Arabia,Riyadh,Possibly Available,2026-07-19,2026-07-20,Platform-Indexed Vacancy,B,66,https://sa.linkedin.com/jobs/digital-transformation-advisor-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00066,Associate Director - MENA Chief Data Officer,EY,Data & Governance,Egypt,Cairo,Possibly Available,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,65,https://eg.linkedin.com/jobs/digital-transformation-manager-jobs?countryRedirected=1,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00067,AWS Cloud Solution Architect (CDK Support),SSC HR Solutions,Solution Architecture,Egypt,New Cairo / Hybrid,Expired,,2026-07-20,Platform-Indexed Vacancy,A,65,https://jobs.workable.com/view/jX9DuPw6foy5n8FWKmrB1U/hybrid-aws-cloud-solution-architect-%28cdk-support%29-in-new-cairo-city-at-ssc-hr-solutions,Hybrid New Cairo
job-00068,Data Governance Manager — Bayt Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/egypt/jobs/Data%20Governance%20Manager-jobs/,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
job-00069,Data Governance Manager — Bayt Live Search,Saudi Arabia,Live Job Search,Saudi Arabia,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/saudi-arabia/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00070,Data Governance Manager — Bayt Live Search,United Arab Emirates,Live Job Search,United Arab Emirates,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/united-arab-emirates/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00071,Data Governance Manager — Bayt Live Search,Qatar,Live Job Search,Qatar,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/qatar/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00072,Data Governance Manager — Bayt Live Search,Kuwait,Live Job Search,Kuwait,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/kuwait/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00073,Data Governance Manager — Bayt Live Search,Oman,Live Job Search,Oman,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/oman/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00074,Data Governance Manager — Bayt Live Search,Bahrain,Live Job Search,Bahrain,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/bahrain/jobs/Data%20Governance%20Manager-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00075,Data Governance Manager — Google Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.google.com/search?q=Egypt+Data+Governance+Manager+jobs+posted+this+week,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
job-00076,Data Governance Manager — GulfTalent Live Search,Saudi Arabia,Live Job Search,Saudi Arabia,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00077,Data Governance Manager — GulfTalent Live Search,United Arab Emirates,Live Job Search,United Arab Emirates,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00078,Data Governance Manager — GulfTalent Live Search,Qatar,Live Job Search,Qatar,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00079,Data Governance Manager — GulfTalent Live Search,Kuwait,Live Job Search,Kuwait,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00080,Data Governance Manager — GulfTalent Live Search,Oman,Live Job Search,Oman,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00081,Data Governance Manager — GulfTalent Live Search,Bahrain,Live Job Search,Bahrain,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.gulftalent.com/jobs?keywords=Data+Governance+Manager,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00082,Data Governance Manager — LinkedIn Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Egypt,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
job-00083,Data Governance Manager — LinkedIn Live Search,Saudi Arabia,Live Job Search,Saudi Arabia,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Saudi+Arabia,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00084,Data Governance Manager — LinkedIn Live Search,United Arab Emirates,Live Job Search,United Arab Emirates,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=United+Arab+Emirates,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00085,Data Governance Manager — LinkedIn Live Search,Qatar,Live Job Search,Qatar,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Qatar,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00086,Data Governance Manager — LinkedIn Live Search,Kuwait,Live Job Search,Kuwait,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Kuwait,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00087,Data Governance Manager — LinkedIn Live Search,Oman,Live Job Search,Oman,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Oman,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00088,Data Governance Manager — LinkedIn Live Search,Bahrain,Live Job Search,Bahrain,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.linkedin.com/jobs/search/?keywords=Data+Governance+Manager&sortBy=DD&location=Bahrain,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00089,Data Governance Manager — Wuzzuf Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://wuzzuf.net/search/jobs/?q=Data+Governance+Manager&a=navbl,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
job-00090,Digital Transformation Director,Dammam Airports Company,Digital Transformation & Strategy,Saudi Arabia,Dammam,Expired,2026-07-20,2026-07-20,Platform-Indexed Vacancy,B,65,https://careers.daco.sa/en/saudi-arabia/jobs/digital-transformation-director-1100040713/,Open nationality not stated
job-00091,Digital Transformation Manager / Solution Architect,Union Properties / Tetra Edge,Digital Transformation,United Arab Emirates,Dubai,Possibly Available,2026-07-16,2026-07-20,Platform-Indexed Vacancy,B,65,https://ae.linkedin.com/in/mohammed-hashim-1a13665b,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00092,Enterprise Applications & Digital Transformation Manager,Sunbulah Group,Digital Transformation,Saudi Arabia,Jeddah,Possibly Available,2026-07-06,2026-07-20,Platform-Indexed Vacancy,B,65,https://sa.linkedin.com/jobs/it-leadership-jobs,"Verify eligibility, deadline and work authorization on the linked source before applying."
job-00093,Enterprise Architect — Bayt Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/egypt/jobs/Enterprise%20Architect-jobs/,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
job-00094,Enterprise Architect — Bayt Live Search,Saudi Arabia,Live Job Search,Saudi Arabia,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/saudi-arabia/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00095,Enterprise Architect — Bayt Live Search,United Arab Emirates,Live Job Search,United Arab Emirates,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/united-arab-emirates/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00096,Enterprise Architect — Bayt Live Search,Qatar,Live Job Search,Qatar,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/qatar/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00097,Enterprise Architect — Bayt Live Search,Kuwait,Live Job Search,Kuwait,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/kuwait/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00098,Enterprise Architect — Bayt Live Search,Oman,Live Job Search,Oman,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/oman/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00099,Enterprise Architect — Bayt Live Search,Bahrain,Live Job Search,Bahrain,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.bayt.com/en/bahrain/jobs/Enterprise%20Architect-jobs/,"GCC live-search pack. This is a live search link, not one fixed vacancy."
job-00100,Enterprise Architect — Google Live Search,Egypt,Live Job Search,Egypt,Live / varies,Possibly Available,,2026-07-20,Platform-Indexed Vacancy,B,65,https://www.google.com/search?q=Egypt+Enterprise+Architect+jobs+posted+this+week,"Egypt live-search pack. This is a live search link, not one fixed vacancy."
