id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,sourceClass,coverage,specialism,accountRequired,alertsAvailable,rssUrl,reviewFrequency,priority,egyptEligibility,remoteScope,officialApplyPolicy,sourceRank,sourceGroup,careersLinkQuality,lifecycleStatus
source-034,BrighterMonday Rwanda,Africa Regional Boards,Job Source,East Africa,Rwanda,Rwanda,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; operations. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.brightermonday.co.rw/jobs,Established regional job board,Rwanda,General; NGO; technology; operations,Yes,Email alerts,,Weekly,Medium,Check Rwanda work eligibility,Some remote listings,Platform applications and employer redirects,4,Africa Regional Boards,Established search platform,Active
source-035,MyJobMag Nigeria,Africa Regional Boards,Job Source,West Africa,Nigeria,Nigeria,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; healthcare. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.myjobmag.com/,Established regional job board,Nigeria,General; NGO; technology; healthcare,Optional,Email alerts,,Weekly,Medium,Check individual listing,Some remote listings,Prefer employer link when available,4,Africa Regional Boards,Established search platform,Active
source-036,MyJobMag Kenya,Africa Regional Boards,Job Source,East Africa,Kenya,Kenya,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; healthcare. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.myjobmag.co.ke/,Established regional job board,Kenya,General; NGO; technology; healthcare,Optional,Email alerts,,Weekly,Medium,Check individual listing,Some remote listings,Prefer employer link when available,4,Africa Regional Boards,Established search platform,Active
source-037,MyJobMag Ghana,Africa Regional Boards,Job Source,West Africa,Ghana,Ghana,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; healthcare. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.myjobmag.com.gh/,Established regional job board,Ghana,General; NGO; technology; healthcare,Optional,Email alerts,,Weekly,Medium,Check individual listing,Some remote listings,Prefer employer link when available,4,Africa Regional Boards,Established search platform,Active
source-038,MyJobMag South Africa,Africa Regional Boards,Job Source,Southern Africa,South Africa,South Africa,Medium,Careers Page Available,,2026-07-21,General; NGO; technology; healthcare. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.myjobmag.co.za/,Established regional job board,South Africa,General; NGO; technology; healthcare,Optional,Email alerts,,Weekly,Medium,Check South Africa work eligibility,Some remote listings,Prefer employer link when available,4,Africa Regional Boards,Established search platform,Active
source-039,PNet,Africa Regional Boards,Job Source,Southern Africa,South Africa,South Africa,Medium,Careers Page Available,,2026-07-21,Professional; technology; management; healthcare. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.pnet.co.za/jobs,Established regional job board,South Africa,Professional; technology; management; healthcare,Yes,Email alerts,,Weekly,Medium,Many roles require South Africa eligibility,Remote/hybrid filters available,Apply through platform or employer,4,Africa Regional Boards,Established search platform,Active
source-040,Careers24,Africa Regional Boards,Job Source,Southern Africa,South Africa,South Africa,Medium,Careers Page Available,,2026-07-21,General; professional; technology; management. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.careers24.com/jobs/,Established regional job board,South Africa,General; professional; technology; management,Yes,Email alerts,,Weekly,Medium,Many roles require South Africa eligibility,Remote filter varies,Apply through platform or employer,4,Africa Regional Boards,Established search platform,Active
source-041,Ethiojobs,Africa Regional Boards,Job Source,East Africa,Ethiopia,Ethiopia,Medium,Careers Page Available,,2026-07-21,NGO; development; technology; management. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.ethiojobs.net/,Established regional job board,Ethiopia,NGO; development; technology; management,Yes,Email alerts,,Weekly,Medium,Check Ethiopia eligibility,Limited remote,Apply according to listing,4,Africa Regional Boards,Established search platform,Active
source-042,Great Uganda Jobs,Africa Regional Boards,Job Source,East Africa,Uganda,Uganda,Medium,Careers Page Available,,2026-07-21,NGO; development; general. Review individual vacancy eligibility and deadline on the original listing.,Regional job board,https://www.greatugandajobs.com/,Regional job board,Uganda,NGO; development; general,Optional,Email / website,,Weekly,Low,Check Uganda eligibility,Limited remote,Verify employer and official source,3,Africa Regional Boards,Established search platform,Active
source-043,LinkedIn Jobs,General Platforms,Job Source,Global,Global,Global,High,Careers Page Available,,2026-07-21,Professional; technology; leadership; all sectors. Review individual vacancy eligibility and deadline on the original listing.,Established general platform,https://www.linkedin.com/jobs/,Established general platform,Global,Professional; technology; leadership; all sectors,Yes,Job alerts,,Daily,High,Use location and remote filters; verify employer,"Worldwide, EMEA and country-restricted roles",Prefer official employer apply link when available,3,General Platforms,Established search platform,Active
source-044,Indeed,General Platforms,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,General job aggregation. Review individual vacancy eligibility and deadline on the original listing.,Established general platform,https://www.indeed.com/,Established general platform,Global,General job aggregation,Optional,Email alerts,,Weekly,Medium,Country site and employer restrictions vary,Remote filter available,Prefer official employer source,3,General Platforms,Established search platform,Active
source-045,Glassdoor,General Platforms,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Jobs; employer research; reviews. Review individual vacancy eligibility and deadline on the original listing.,Established general platform,https://www.glassdoor.com/Job/index.htm,Established general platform,Global,Jobs; employer research; reviews,Yes,Email alerts,,Weekly,Medium,Eligibility varies,Remote filter available,Prefer official employer source,3,General Platforms,Established search platform,Active
source-046,WUZZUF,Egypt & MENA Platforms,Job Source,Egypt,Egypt,Egypt,High,Careers Page Available,,2026-07-21,Egypt technology; management; private sector. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://wuzzuf.net/jobs/egypt,Established regional job board,Egypt,Egypt technology; management; private sector,Yes,Email alerts,,2–3 days,High,Egypt-based roles,Remote/hybrid filters available,Apply through WUZZUF or employer,4,Egypt & MENA Platforms,Established search platform,Active
source-047,Bayt,Egypt & MENA Platforms,Job Source,MENA,Middle East,MENA,High,Careers Page Available,,2026-07-21,Middle East professional roles. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.bayt.com/en/international/jobs/,Established regional job board,MENA,Middle East professional roles,Yes,Job alerts,,2–3 days,High,Egyptians can apply where employer accepts international candidates,Remote filter varies,Apply through Bayt or employer,4,Egypt & MENA Platforms,Established search platform,Active
source-048,GulfTalent,Egypt & MENA Platforms,Job Source,GCC,GCC,GCC,High,Careers Page Available,,2026-07-21,Senior professional and management roles. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.gulftalent.com/jobs,Established regional job board,GCC,Senior professional and management roles,Yes,Job alerts,,2–3 days,High,Check visa and nationality conditions,Mostly onsite/hybrid,Apply through GulfTalent or employer,4,Egypt & MENA Platforms,Established search platform,Active
source-049,Naukrigulf,Egypt & MENA Platforms,Job Source,GCC,GCC,GCC,High,Careers Page Available,,2026-07-21,Gulf professional roles. Review individual vacancy eligibility and deadline on the original listing.,Established regional job board,https://www.naukrigulf.com/,Established regional job board,GCC,Gulf professional roles,Yes,Job alerts,,2–3 days,High,Check visa and nationality conditions,Some remote listings,Apply through platform or employer,4,Egypt & MENA Platforms,Established search platform,Active
source-050,Wellfound,Remote & Startup,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Startups; technology; product; remote. Review individual vacancy eligibility and deadline on the original listing.,Established startup platform,https://wellfound.com/jobs,Established startup platform,Global,Startups; technology; product; remote,Yes,Job alerts,,Weekly,Medium,Check “Hires Remotely From” for Egypt,Worldwide and country-specific remote,Apply through Wellfound or company,4,Remote & Startup,Established search platform,Active
source-051,FlexJobs,Remote & Startup,Job Source,Global,Global,Global,Medium,Careers Page Available,,2026-07-21,Remote; hybrid; flexible roles. Review individual vacancy eligibility and deadline on the original listing.,Established remote platform,https://www.flexjobs.com/remote-jobs,Established remote platform,Global,Remote; hybrid; flexible roles,Yes / paid,Email alerts,,Weekly,Medium,Check employer location restrictions,"Remote, hybrid and flexible",Apply through platform or employer,4,Remote & Startup,Established search platform,Active
source-052,Remote OK,Remote & Startup,Job Source,Remote,Global,Global,Medium,Careers Page Available,,2026-07-21,Remote technology roles. Review individual vacancy eligibility and deadline on the original listing.,Established remote platform,https://remoteok.com/,Established remote platform,Global,Remote technology roles,Optional,Email / RSS,https://remoteok.com/remote-jobs.rss,Weekly,Medium,Many roles list regional restrictions,Worldwide and region-restricted remote,Apply through listing,4,Remote & Startup,Established search platform,Active
source-053,We Work Remotely,Remote & Startup,Job Source,Remote,Global,Global,Medium,Careers Page Available,,2026-07-21,Remote technology; product; management. Review individual vacancy eligibility and deadline on the original listing.,Established remote platform,https://weworkremotely.com/remote-jobs/search,Established remote platform,Global,Remote technology; product; management,Optional,Email / RSS,https://weworkremotely.com/categories/remote-programming-jobs.rss,Weekly,Medium,Check country restrictions,Worldwide and restricted remote,Apply through listing,4,Remote & Startup,Established search platform,Active
source-054,Remotive,Remote & Startup,Job Source,Remote,Global,Global,Medium,Careers Page Available,,2026-07-21,Remote technology; operations; product. Review individual vacancy eligibility and deadline on the original listing.,Established remote platform,https://remotive.com/remote-jobs,Established remote platform,Global,Remote technology; operations; product,Optional,Email / RSS,https://remotive.com/remote-jobs/feed,Weekly,Medium,Check location tags,Worldwide and region-restricted remote,Apply through listing,4,Remote & Startup,Established search platform,Active
source-055,Working Nomads,Remote & Startup,Job Source,Remote,Global,Global,Medium,Careers Page Available,,2026-07-21,Remote technology and professional roles. Review individual vacancy eligibility and deadline on the original listing.,Established remote platform,https://www.workingnomads.com/jobs,Established remote platform,Global,Remote technology and professional roles,Optional,Email alerts,,Weekly,Low,Check regional restrictions,Remote,Apply through listing,4,Remote & Startup,Established search platform,Active
source-056,PATH Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Global health; digital health; programme technology. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.path.org/careers/,Official employer careers,Africa / Global,Global health; digital health; programme technology,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
source-057,Jhpiego Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Global health; digital health; country programmes. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.jhpiego.org/careers/,Official employer careers,Africa / Global,Global health; digital health; country programmes,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
source-058,FHI 360 Careers,Development Implementers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Health; education; development; technology. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.fhi360.org/careers,Official employer careers,Africa / Global,Health; education; development; technology,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Development Implementers,Direct careers page,Active
source-059,Amref Health Africa Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,African health; digital health; programmes. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://amref.org/job-vacancies/,Official employer careers,Africa / Global,African health; digital health; programmes,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
source-060,Clinton Health Access Initiative Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Health systems; analytics; digital health. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.clintonhealthaccess.org/join-our-team/,Official employer careers,Africa / Global,Health systems; analytics; digital health,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
source-061,Management Sciences for Health Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,High,Careers Page Available,,2026-07-21,Health systems; digital; programme operations. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.msh.org/careers,Official employer careers,Africa / Global,Health systems; digital; programme operations,Yes,Job alerts,,Weekly,High,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
source-062,IntraHealth Careers,Health Employers,Job Source,Africa / Global,Global,Africa / Global,Medium,Careers Page Available,,2026-07-21,Health workforce; digital health; data. Review individual vacancy eligibility and deadline on the original listing.,Official employer careers,https://www.intrahealth.org/careers,Official employer careers,Africa / Global,Health workforce; digital health; data,Yes,Job alerts,,Weekly,Medium,Egyptians may apply to international or eligible national roles,Some remote or regional roles,Apply on official employer careers page,6,Health Employers,Direct careers page,Active
