id,record_type,category,title,organization,subtitle,role_family,type,industry,region,country,location,availability_status,published_date,expiry_date,last_checked,posted_text,source,source_quality,source_quality_label,verification_level,match_score,fit,priority_tier,url,notes
project-00011,Project / Tender,project,FCS Africa Private Sector Advisory Assignment,IFC,IFC,Consulting Firm EOI,Consulting Firm EOI,,Africa,Sub-Saharan Africa,,Expired,2026-06-09,2026-07-07,2026-07-20,Published 9 Jun 2026; deadline 7 Jul 2026,World Bank RFx Now,A,Official / primary source,Official,54,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/6989/view.html,Reference: Advertisement 6989. Verify deadline and bidder eligibility on the source portal.
project-00012,Project / Tender,project,Data Readiness for AI Development Framework for African Countries,African Development Bank,African Development Bank,Data & AI Consultancy,Data & AI Consultancy,,Africa,Remote / Africa,,Expired,2026-02-11,2026-02-25,2026-07-20,Published 11 Feb 2026; deadline 25 Feb 2026,AfDB,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/consultants/eoi-consultancy-framework-development-data-readiness-ai-development-african-countries-pitd-90760,Reference: PITD EOI. Verify deadline and bidder eligibility on the source portal.
project-00013,Project / Tender,project,Agribusiness Digital Transformation and Climate Resilience Support,African Development Bank,African Development Bank,Digital Transformation Consultancy,Digital Transformation Consultancy,,Africa,Ghana,,Available,,,2026-07-20,Listed 6 Jul 2026; closing 20 Jul 2026,AfDB Consultants,A,Official / primary source,Official,54,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Reference: AHHD EOI. Verify deadline and bidder eligibility on the source portal.
project-00014,Project / Tender,project,SAPZ Portfolio Management Consultant,African Development Bank,African Development Bank,Portfolio Management Consultancy,Portfolio Management Consultancy,,Africa,Africa,,Available,,,2026-07-20,Listed 8 Jul 2026; closing 31 Jul 2026,AfDB Consultants,A,Official / primary source,Official,50,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Reference: AHFR EOI. Verify deadline and bidder eligibility on the source portal.
project-00015,Project / Tender,project,Supply Chain Finance Market Validation in Africa,African Development Bank,African Development Bank,Financial Technology Consultancy,Financial Technology Consultancy,,Africa,Africa,,Available,,,2026-07-20,Listed 1 Jul 2026; closing 31 Jul 2026,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Reference: PIFD EOI. Verify deadline and bidder eligibility on the source portal.
project-00016,Project / Tender,project,UNGM — Ict Consulting Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00017,Project / Tender,project,UNGM — Digital Transformation Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,55,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00018,Project / Tender,project,UNGM — Software Development Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00019,Project / Tender,project,UNGM — Enterprise Architecture Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,66,Medium,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00020,Project / Tender,project,UNGM — Data Governance Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,59,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00021,Project / Tender,project,UNGM — Digital Health Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,57,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00022,Project / Tender,project,UNGM — Health Information Systems Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,53,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00023,Project / Tender,project,UNGM — Cloud Migration Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,53,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00024,Project / Tender,project,UNGM — Cybersecurity Consulting Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00025,Project / Tender,project,UNGM — Ai Strategy Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00026,Project / Tender,project,UNGM — Erp Implementation Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,53,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00027,Project / Tender,project,UNGM — Systems Integration Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,53,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00028,Project / Tender,project,UNGM — Project Management Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00029,Project / Tender,project,UNGM — Technical Assistance Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00030,Project / Tender,project,UNGM — Business Process Reengineering Search,UN tenders and EOIs,UN tenders and EOIs,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNGM,A,Official / primary source,Official,52,Low,,https://www.ungm.org/Public/Notice,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00031,Project / Tender,project,UNDP Procurement Notices — Ict Consulting Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00032,Project / Tender,project,UNDP Procurement Notices — Digital Transformation Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,57,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00033,Project / Tender,project,UNDP Procurement Notices — Software Development Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00034,Project / Tender,project,UNDP Procurement Notices — Enterprise Architecture Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,68,Medium,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00035,Project / Tender,project,UNDP Procurement Notices — Data Governance Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,60,Medium,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00036,Project / Tender,project,UNDP Procurement Notices — Digital Health Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,59,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00037,Project / Tender,project,UNDP Procurement Notices — Health Information Systems Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,55,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00038,Project / Tender,project,UNDP Procurement Notices — Cloud Migration Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,55,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00039,Project / Tender,project,UNDP Procurement Notices — Cybersecurity Consulting Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00040,Project / Tender,project,UNDP Procurement Notices — Ai Strategy Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00041,Project / Tender,project,UNDP Procurement Notices — Erp Implementation Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,55,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00042,Project / Tender,project,UNDP Procurement Notices — Systems Integration Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,55,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00043,Project / Tender,project,UNDP Procurement Notices — Project Management Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00044,Project / Tender,project,UNDP Procurement Notices — Technical Assistance Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00045,Project / Tender,project,UNDP Procurement Notices — Business Process Reengineering Search,UNDP tenders and individual consultancies,UNDP tenders and individual consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,UNDP Procurement Notices,A,Official / primary source,Official,53,Low,,https://procurement-notices.undp.org/,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00046,Project / Tender,project,World Bank RFx Now — Ict Consulting Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00047,Project / Tender,project,World Bank RFx Now — Digital Transformation Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,55,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00048,Project / Tender,project,World Bank RFx Now — Software Development Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00049,Project / Tender,project,World Bank RFx Now — Enterprise Architecture Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,66,Medium,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00050,Project / Tender,project,World Bank RFx Now — Data Governance Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,59,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00051,Project / Tender,project,World Bank RFx Now — Digital Health Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,57,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00052,Project / Tender,project,World Bank RFx Now — Health Information Systems Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,53,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00053,Project / Tender,project,World Bank RFx Now — Cloud Migration Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,53,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00054,Project / Tender,project,World Bank RFx Now — Cybersecurity Consulting Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00055,Project / Tender,project,World Bank RFx Now — Ai Strategy Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00056,Project / Tender,project,World Bank RFx Now — Erp Implementation Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,53,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00057,Project / Tender,project,World Bank RFx Now — Systems Integration Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,53,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00058,Project / Tender,project,World Bank RFx Now — Project Management Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00059,Project / Tender,project,World Bank RFx Now — Technical Assistance Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00060,Project / Tender,project,World Bank RFx Now — Business Process Reengineering Search,World Bank consulting opportunities,World Bank consulting opportunities,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,World Bank RFx Now,A,Official / primary source,Official,52,Low,,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00061,Project / Tender,project,AfDB Consultants — Ict Consulting Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00062,Project / Tender,project,AfDB Consultants — Digital Transformation Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,55,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00063,Project / Tender,project,AfDB Consultants — Software Development Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00064,Project / Tender,project,AfDB Consultants — Enterprise Architecture Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,66,Medium,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00065,Project / Tender,project,AfDB Consultants — Data Governance Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,59,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00066,Project / Tender,project,AfDB Consultants — Digital Health Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,57,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00067,Project / Tender,project,AfDB Consultants — Health Information Systems Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00068,Project / Tender,project,AfDB Consultants — Cloud Migration Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00069,Project / Tender,project,AfDB Consultants — Cybersecurity Consulting Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00070,Project / Tender,project,AfDB Consultants — Ai Strategy Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,52,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
project-00071,Project / Tender,project,AfDB Consultants — Erp Implementation Search,African Development Bank consultancies,African Development Bank consultancies,Live Project Search,Live Project Search,,Global,Multiple,,Available,,,2026-07-20,Live portal search / monitor regularly,AfDB Consultants,A,Official / primary source,Official,53,Low,,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants,Search the portal using the stated keyword; deadlines and eligibility change frequently.
