id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url
59,World Bank RFx Now — Technical Assistance Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
60,World Bank RFx Now — Business Process Reengineering Search,World Bank consulting opportunities,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,World Bank RFx Now,https://wbgeprocure-rfxnow.worldbank.org/rfxnow/public/advertisement/list.html
61,AfDB Consultants — Ict Consulting Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
62,AfDB Consultants — Digital Transformation Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
63,AfDB Consultants — Software Development Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
64,AfDB Consultants — Enterprise Architecture Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
65,AfDB Consultants — Data Governance Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
66,AfDB Consultants — Digital Health Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
67,AfDB Consultants — Health Information Systems Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
68,AfDB Consultants — Cloud Migration Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
69,AfDB Consultants — Cybersecurity Consulting Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
70,AfDB Consultants — Ai Strategy Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
71,AfDB Consultants — Erp Implementation Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
72,AfDB Consultants — Systems Integration Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
73,AfDB Consultants — Project Management Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
74,AfDB Consultants — Technical Assistance Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
75,AfDB Consultants — Business Process Reengineering Search,African Development Bank consultancies,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Consultants,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants
76,AfDB Corporate Procurement — Ict Consulting Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
77,AfDB Corporate Procurement — Digital Transformation Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
78,AfDB Corporate Procurement — Software Development Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
79,AfDB Corporate Procurement — Enterprise Architecture Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
80,AfDB Corporate Procurement — Data Governance Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
81,AfDB Corporate Procurement — Digital Health Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
82,AfDB Corporate Procurement — Health Information Systems Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
83,AfDB Corporate Procurement — Cloud Migration Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
84,AfDB Corporate Procurement — Cybersecurity Consulting Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
85,AfDB Corporate Procurement — Ai Strategy Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
86,AfDB Corporate Procurement — Erp Implementation Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
87,AfDB Corporate Procurement — Systems Integration Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
88,AfDB Corporate Procurement — Project Management Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
89,AfDB Corporate Procurement — Technical Assistance Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
90,AfDB Corporate Procurement — Business Process Reengineering Search,AfDB procurement,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,AfDB Corporate Procurement,https://www.afdb.org/en/about-us/corporate-procurement
91,EBRD ECEPP — Ict Consulting Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
92,EBRD ECEPP — Digital Transformation Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
93,EBRD ECEPP — Software Development Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
94,EBRD ECEPP — Enterprise Architecture Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
95,EBRD ECEPP — Data Governance Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
96,EBRD ECEPP — Digital Health Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
97,EBRD ECEPP — Health Information Systems Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
98,EBRD ECEPP — Cloud Migration Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
99,EBRD ECEPP — Cybersecurity Consulting Search,EBRD procurement and consulting,Live Project Search,Global,Multiple,,High,Available,Live portal search / monitor regularly,2026-07-20,Search the portal using the stated keyword; deadlines and eligibility change frequently.,EBRD ECEPP,https://ecepp.ebrd.com/
