"id","title","subtitle","type","region","country","location","fit","status","posted","checked","notes","source","url"
"1","African Union","Continental intergovernmental organization","Pan-African Institution","Africa-wide","Ethiopia","Ethiopia","High","Needs Verification","","2026-07-20","Continental policy, digital transformation, health, infrastructure and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.au.int/"
"12","African Peer Review Mechanism","APRM","Pan-African Institution","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Governance, institutional performance, data and continental programmes. Directory entry; verify current openings on the official source.","Official careers page","https://aprm.au.int/en/opportunities"
"13","Smart Africa Alliance","Digital transformation alliance","Pan-African Technology Institution","Africa-wide","Rwanda","Rwanda","High","Needs Verification","","2026-07-20","Digital transformation, ICT policy, digital public infrastructure and innovation. Directory entry; verify current openings on the official source.","Official organization website","https://smartafrica.org/"
"14","African Telecommunications Union","ATU","Pan-African Technology Institution","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Telecommunications policy, spectrum, digital inclusion and technology programmes. Directory entry; verify current openings on the official source.","Official organization website","https://atuuat.africa/"
"15","African Trade and Investment Development Insurance","ATIDI","Development Finance","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Risk, insurance, finance, enterprise systems and regional operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.atidi.africa/careers/"
"16","East African Community","EAC","Regional Economic Community","East Africa","Tanzania","Tanzania","High","Needs Verification","","2026-07-20","Regional integration, health, customs, digital systems and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.eac.int/opportunities/employment"
"17","Economic Community of West African States","ECOWAS","Regional Economic Community","West Africa","Nigeria","Nigeria","High","Needs Verification","","2026-07-20","Regional programmes, institutions, ICT, health and economic development. Directory entry; verify current openings on the official source.","Official careers page","https://www.ecowas.int/careers/"
"18","Southern African Development Community","SADC","Regional Economic Community","Southern Africa","Botswana","Botswana","High","Needs Verification","","2026-07-20","Regional development, infrastructure, health, ICT and policy. Directory entry; verify current openings on the official source.","Official careers page","https://www.sadc.int/opportunities/employment"
"19","Common Market for Eastern and Southern Africa","COMESA","Regional Economic Community","Eastern & Southern Africa","Zambia","Zambia","High","Needs Verification","","2026-07-20","Trade, regional integration, digital systems and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://www.comesa.int/job-opportunities/"
"20","Intergovernmental Authority on Development","IGAD","Regional Economic Community","Horn of Africa","Djibouti","Djibouti","High","Needs Verification","","2026-07-20","Resilience, peace, climate, health, data and regional programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://igad.int/jobs/"
"21","African Legal Support Facility","ALSF","Pan-African Institution","Africa-wide","Côte d’Ivoire","Côte d’Ivoire","Medium","Needs Verification","","2026-07-20","Legal, institutional, project finance and operational roles. Directory entry; verify current openings on the official source.","Official careers page","https://www.aflsf.org/careers"
"22","African Water Facility","AWF","Pan-African Institution","Africa-wide","Côte d’Ivoire","Côte d’Ivoire","High","Needs Verification","","2026-07-20","Water programmes, project delivery, data and development operations. Directory entry; verify current openings on the official source.","Official organization website","https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/african-water-facility"
"23","African Institute for Economic Development and Planning","IDEP","UN & Regional Institution","Africa-wide","Senegal","Senegal","High","Needs Verification","","2026-07-20","Economic planning, training, data and regional development. Directory entry; verify current openings on the official source.","Official organization website","https://www.uneca.org/idep"
"24","African Organisation of English-speaking Supreme Audit Institutions","AFROSAI-E","Governance Institution","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Public-sector governance, audit, digital transformation and capacity development. Directory entry; verify current openings on the official source.","Official organization website","https://afrosai-e.org.za/"
"25","African Tax Administration Forum","ATAF","Pan-African Institution","Africa-wide","South Africa","South Africa","High","Needs Verification","","2026-07-20","Tax administration, digital government, data and institutional systems. Directory entry; verify current openings on the official source.","Official careers page","https://www.ataftax.org/careers"
"26","United Nations Development Programme","UNDP","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital transformation, governance, data, programme technology and development. Directory entry; verify current openings on the official source.","Official careers page","https://www.undp.org/careers"
"27","United Nations Children’s Fund","UNICEF","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Technology for development, data, health, education and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.unicef.org/careers"
"28","World Health Organization","WHO","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital health, health information systems, data, IT and public health. Directory entry; verify current openings on the official source.","Official careers page","https://www.who.int/careers"
"29","World Food Programme","WFP","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Supply chain, digital assistance, data, enterprise technology and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.wfp.org/careers"
"30","United Nations High Commissioner for Refugees","UNHCR","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Refugee response, digital services, data, IT and field operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.unhcr.org/careers.html"
"31","International Organization for Migration","IOM","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Migration programmes, data, digital systems, health and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.iom.int/careers"
"32","United Nations Office for Project Services","UNOPS","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Infrastructure, procurement, project delivery, digital systems and operations. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.unops.org/"
"33","United Nations Population Fund","UNFPA","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Population data, reproductive health, digital systems and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.unfpa.org/jobs"
"34","UN Women","United Nations Entity for Gender Equality","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Gender programmes, data, digital inclusion and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.unwomen.org/en/about-us/employment"
"35","Food and Agriculture Organization","FAO","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Agriculture, data, digital innovation, information systems and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.fao.org/employment/home/en"
"36","International Fund for Agricultural Development","IFAD","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Rural development, digital agriculture, programme management and data. Directory entry; verify current openings on the official source.","Official careers page","https://www.ifad.org/en/careers"
"37","International Labour Organization","ILO","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Employment, digital labour, programme management, data and IT. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.ilo.org/"
"38","United Nations Educational, Scientific and Cultural Organization","UNESCO","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Education technology, science, culture, data and programme roles. Directory entry; verify current openings on the official source.","Official careers page","https://careers.unesco.org/"
"39","United Nations Environment Programme","UNEP","UN & Multilateral","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Environment, climate data, digital solutions and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.unep.org/work-with-us"
"40","UN-Habitat","United Nations Human Settlements Programme","UN & Multilateral","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Urban development, GIS, data, digital cities and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://unhabitat.org/join-us"
"41","Joint United Nations Programme on HIV/AIDS","UNAIDS","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health data, digital programmes, policy and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.unaids.org/en/whoweare/jobs"
"42","United Nations Office for the Coordination of Humanitarian Affairs","OCHA","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian coordination, information management, data and technology. Directory entry; verify current openings on the official source.","Official careers page","https://careers.un.org/"
"43","International Telecommunication Union","ITU","UN & Multilateral","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital development, connectivity, policy, standards and technology. Directory entry; verify current openings on the official source.","Official careers page","https://www.itu.int/en/careers/Pages/default.aspx"
"44","World Bank Group","International development finance","Development Finance","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","GovTech, digital development, health systems, data and enterprise technology. Directory entry; verify current openings on the official source.","Official careers page","https://www.worldbank.org/en/about/careers"
"45","International Finance Corporation","IFC — World Bank private-sector arm","Development Finance","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Private-sector development, digital finance, infrastructure and technology. Directory entry; verify current openings on the official source.","Official careers page","https://www.ifc.org/en/about/careers"
"46","International Rescue Committee","IRC","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, data, technology, operations and country leadership. Directory entry; verify current openings on the official source.","Official careers page","https://careers.rescue.org/"
"47","Norwegian Refugee Council","NRC","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Displacement response, information management, digital systems and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.nrc.no/career/"
"48","Danish Refugee Council","DRC","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, data, IT, operations and regional management. Directory entry; verify current openings on the official source.","Official careers page","https://job.drc.ngo/jobs"
"49","Save the Children International","SCI","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Child-focused programmes, technology, data, health, education and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.savethechildren.net/careers"
"50","World Vision International","WVI","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Development programmes, digital solutions, data, supply chain and leadership. Directory entry; verify current openings on the official source.","Official careers page","https://www.wvi.org/careers"
"51","CARE International","CARE","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian response, gender, programme technology, data and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.care-international.org/jobs"
"52","Oxfam International","Oxfam","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian and development programmes, data, systems and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.oxfam.org/en/take-action/jobs"
"53","Mercy Corps","International NGO","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Resilience, economic development, technology, data and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.mercycorps.org/careers"
"54","Médecins Sans Frontières","MSF","Medical Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","Medical programmes, health information, logistics, IT and operations. Directory entry; verify current openings on the official source.","Official organization website","https://www.msf.org/work-msf"
"55","International Committee of the Red Cross","ICRC","Humanitarian Organization","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian operations, ICT, data protection, logistics and field management. Directory entry; verify current openings on the official source.","Official careers page","https://careers.icrc.org/"
"56","International Federation of Red Cross and Red Crescent Societies","IFRC","Humanitarian Organization","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Disaster response, digital transformation, information management and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.ifrc.org/jobs"
"57","Catholic Relief Services","CRS","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Development, humanitarian response, ICT4D, data and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.crs.org/about/careers"
"58","Action Against Hunger","ACF","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Nutrition, health, WASH, data, operations and humanitarian programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.actionagainsthunger.org/careers/"
"59","Concern Worldwide","International NGO","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, digital data, monitoring and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.concern.net/"
"60","GOAL Global","International NGO","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, health, resilience, technology and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.goalglobal.org/careers/"
"61","ACTED","Agency for Technical Cooperation and Development","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian response, programme management, information systems and logistics. Directory entry; verify current openings on the official source.","Official careers page","https://www.acted.org/en/join-us/"
"62","Humanity & Inclusion","Handicap International","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Disability inclusion, humanitarian programmes, data and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.hi.org/en/jobs"
"63","Plan International","International development organization","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Children, gender equality, digital programmes, data and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://jobs.plan-international.org/"
"64","SOS Children’s Villages International","Child development organization","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Child protection, education, digital systems and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.sos-childrensvillages.org/jobs"
"65","Islamic Relief Worldwide","IRW","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian assistance, development, systems, data and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.islamic-relief.org/category/jobs/"
"66","Tearfund","International development charity","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Development, humanitarian response, digital programmes and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.tearfund.org/about-us/jobs"
"67","Welthungerhilfe","German development NGO","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Food security, development, digital data and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.welthungerhilfe.org/jobs"
"68","Johanniter International Assistance","Humanitarian organization","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, humanitarian response, logistics, technology and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.johanniter.de/johanniter-unfall-hilfe/international-assistance/jobs/"
"69","Malteser International","Humanitarian relief agency","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, humanitarian operations, data, logistics and field systems. Directory entry; verify current openings on the official source.","Official careers page","https://www.malteser-international.org/en/jobs.html"
"70","Medair","Humanitarian organization","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, WASH, shelter, logistics, data and humanitarian operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.medair.org/jobs/"
"71","International Medical Corps","Medical humanitarian NGO","Medical Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health programmes, information systems, digital health and operations. Directory entry; verify current openings on the official source.","Official careers page","https://careers.internationalmedicalcorps.org/"
"72","Relief International","Humanitarian and development organization","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, health, data, digital systems and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.ri.org/work-with-us/"
"73","Solidarités International","Humanitarian NGO","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","WASH, humanitarian response, information management and logistics. Directory entry; verify current openings on the official source.","Official careers page","https://www.solidarites.org/en/taking-action/work-with-us/"
"74","War Child","Child protection NGO","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Child protection, education, digital programmes and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.warchild.net/jobs/"
"75","INTERSOS","Humanitarian organization","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","Emergency response, protection, information management and operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.intersos.org/en/work-with-us/"
"76","International Organization for Relief, Welfare and Development","Muslim Aid","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","Humanitarian response, development programmes and operational roles. Directory entry; verify current openings on the official source.","Official careers page","https://www.muslimaid.org/about-us/careers/"
"77","The HALO Trust","Humanitarian mine action NGO","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Mine action, GIS, data, field operations and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.halotrust.org/about-us/careers/"
"78","Mines Advisory Group","MAG","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Mine action, information management, operations and programme technology. Directory entry; verify current openings on the official source.","Official organization website","https://www.maginternational.org/work-for-us/"
"79","ShelterBox","Disaster relief organization","Humanitarian NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Emergency response, logistics, technology and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.shelterbox.org/careers/"
"80","Norwegian Church Aid","NCA","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","WASH, peacebuilding, humanitarian response and operations. Directory entry; verify current openings on the official source.","Official organization website","https://www.kirkensnodhjelp.no/en/about-nca/vacancies/"
"81","Lutheran World Federation","LWF","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Humanitarian programmes, refugees, data and field operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.lutheranworld.org/careers"
"82","Caritas Internationalis","Global humanitarian confederation","Humanitarian & Development NGO","Africa-wide","Multiple African countries","Multiple African countries","Medium","Needs Verification","","2026-07-20","Humanitarian and development programmes through African member organizations. Directory entry; verify current openings on the official source.","Official careers page","https://www.caritas.org/who-we-are/careers/"
"83","Amref Health Africa","African health development organization","African Health NGO","Africa-wide","Kenya","Kenya","High","Needs Verification","","2026-07-20","Digital health, health systems, data, workforce development and technology. Directory entry; verify current openings on the official source.","Official careers page","https://careers.amref.org/"
"84","PATH","Global health innovation organization","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital health, data systems, medical technology and health programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.path.org/careers/"
"85","Clinton Health Access Initiative","CHAI","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health systems, digital health, analytics, access and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.clintonhealthaccess.org/careers/"
"86","Jhpiego","Johns Hopkins affiliate","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health systems, digital health, maternal health, data and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://jobs-jhpiego.icims.com/jobs/"
"87","FHI 360","International development organization","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, education, data, technology, research and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.fhi360.org/careers"
"88","Population Services International","PSI","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital health, market systems, data, public health and country programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.psi.org/careers/"
"89","Elizabeth Glaser Pediatric AIDS Foundation","EGPAF","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","HIV, health data, digital systems, programme delivery and research. Directory entry; verify current openings on the official source.","Official careers page","https://pedaids.org/about/careers/"
"90","IntraHealth International","Global health workforce organization","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health workforce information systems, digital health and data. Directory entry; verify current openings on the official source.","Official careers page","https://www.intrahealth.org/careers"
"91","VillageReach","Health systems organization","Global Health NGO","Sub-Saharan Africa","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health supply chains, digital health, data systems and last-mile delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.villagereach.org/careers/"
"92","Living Goods","Community health organization","African Health NGO","East Africa","Kenya / Uganda","Kenya / Uganda","High","Needs Verification","","2026-07-20","Community health, digital tools, data platforms and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://livinggoods.org/careers/"
"93","Last Mile Health","Community health systems organization","Global Health NGO","Sub-Saharan Africa","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Community health systems, digital learning, data and programme technology. Directory entry; verify current openings on the official source.","Official careers page","https://lastmilehealth.org/careers/"
"94","Partners In Health","Global health organization","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health systems, digital health, IT, data and country operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.pih.org/pages/employment"
"95","Management Sciences for Health","MSH","Global Health NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health systems strengthening, supply chain, data and digital health. Directory entry; verify current openings on the official source.","Official careers page","https://www.msh.org/careers"
"96","JSI Research & Training Institute","JSI","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Public health, supply chains, information systems, data and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.jsi.com/careers/"
"97","D-tree International","Digital health organization","Digital Health NGO","Sub-Saharan Africa","Tanzania / Zanzibar","Tanzania / Zanzibar","High","Needs Verification","","2026-07-20","Digital health platforms, community health systems, product and data roles. Directory entry; verify current openings on the official source.","Official careers page","https://www.d-tree.org/careers"
"98","Results for Development","R4D","Development Think Tank","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health systems, education, digital innovation, data and policy. Directory entry; verify current openings on the official source.","Official careers page","https://r4d.org/careers/"
"99","Palladium","Global impact company","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital development, health, governance, data and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://thepalladiumgroup.com/careers"
"100","Abt Global","International development implementer","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, climate, governance, data, digital solutions and programme operations. Directory entry; verify current openings on the official source.","Official careers page","https://www.abtglobal.com/careers"
"101","DAI Global","International development company","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital government, economic development, data, technology and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.dai.com/careers"
"102","Chemonics International","International development company","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Health, supply chain, digital transformation, data and programme delivery. Directory entry; verify current openings on the official source.","Official careers page","https://www.chemonics.com/careers/"
"103","RTI International","Research and development institute","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Research, health, data science, digital systems and development programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.rti.org/careers"
"104","Crown Agents","International development company","Development Implementer","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Public-sector transformation, health supply chains, digital systems and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.crownagents.com/careers/"
"105","SNV Netherlands Development Organisation","SNV","Development NGO","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Agriculture, energy, water, climate, data and programme management. Directory entry; verify current openings on the official source.","Official careers page","https://www.snv.org/careers"
"106","Deutsche Gesellschaft für Internationale Zusammenarbeit","GIZ","Development Agency","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Digital development, public-sector transformation, climate and programmes. Directory entry; verify current openings on the official source.","Official careers page","https://www.giz.de/en/career/jobs.html"
"107","Enabel","Belgian development agency","Development Agency","Africa-wide","Multiple African countries","Multiple African countries","High","Needs Verification","","2026-07-20","Public-sector development, digital transformation, health and education. Directory entry; verify current openings on the official source.","Official careers page","https://www.enabel.be/careers/"
