title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Queens Hospital,Cleopatra Hospitals Group,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Cleopatra Hospitals Group careers,A,2026-07-29,https://cleopatrahospitals.com/en/Careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Alexandria,Saudi German Health,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Saudi German Hospital Cairo,Saudi German Health,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Career Page Available,Priority 1,99,Saudi German Health careers,A,2026-07-29,https://saudigermanhealth.com/en/careers,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Andalusia Hospital Al Maadi,Andalusia Hospitals,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Andalusia%20Hospitals%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Andalusia Hospital Al Shalalat,Andalusia Hospitals,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Andalusia%20Hospitals%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Andalusia Hospital Antoniadis,Andalusia Hospitals,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Andalusia%20Hospitals%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Andalusia Hospital Smouha,Andalusia Hospitals,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Andalusia%20Hospitals%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Magrabi Eye Hospital Alexandria,Magrabi Health,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Magrabi%20Health%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Magrabi Eye Hospital Cairo,Magrabi Health,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Magrabi%20Health%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Magrabi Eye Hospital New Cairo,Magrabi Health,New Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 1,97,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Magrabi%20Health%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Al Mokattam Specialized Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Mokattam%20Specialized%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Al Safwa Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Safwa%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Alexandria New Medical Center,Independent Egypt Hospital,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alexandria%20New%20Medical%20Center%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Alfa Medical Group Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Alfa%20Medical%20Group%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Behman Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Behman%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Dar Al Teb Hospital,Independent Egypt Hospital,Giza,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Dar%20Al%20Teb%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
El Hayah National Hospital Heliopolis,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=El%20Hayah%20National%20Hospital%20Heliopolis%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
El Nada Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=El%20Nada%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
El Nozha International Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=El%20Nozha%20International%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Ganzouri Specialized Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Ganzouri%20Specialized%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Mabaret Al Asafra Hospital,Independent Egypt Hospital,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Mabaret%20Al%20Asafra%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Mabaret Al Asafra West Hospital,Independent Egypt Hospital,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Mabaret%20Al%20Asafra%20West%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Madina Women's Hospital,Independent Egypt Hospital,Alexandria,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Madina%20Women%27s%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Misr International Hospital,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Misr%20International%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
New Giza University Hospital,Independent Egypt Hospital,Giza,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=New%20Giza%20University%20Hospital%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Nile Hospital Hurghada,Independent Egypt Hospital,Hurghada,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Nile%20Hospital%20Hurghada%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Shifa Hospital New Cairo,Independent Egypt Hospital,New Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Shifa%20Hospital%20New%20Cairo%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Tabarak Children's Hospital Heliopolis,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Tabarak%20Children%27s%20Hospital%20Heliopolis%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Tabarak Children's Hospital Maadi,Independent Egypt Hospital,Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Tabarak%20Children%27s%20Hospital%20Maadi%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
Tabarak Children's Hospital New Cairo,Independent Egypt Hospital,New Cairo,Egypt,Egypt,Private Hospitals & Healthcare,Live Search,Priority 2,93,Live company vacancy search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Tabarak%20Children%27s%20Hospital%20New%20Cairo%20Egypt&sortBy=DD,"High-priority employer for healthcare IT, digital health, hospital information systems, interoperability, data platforms, cybersecurity, ERP, infrastructure, program management, clinical-system integration and digital-transformation leadership."
