employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
13,Abu Dhabi Islamic Bank-Egypt (ADIB-Egypt),Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Abu+Dhabi+Islamic+Bank+Egypt&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #13. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
14,Orascom Construction,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,88,Official employer careers,B,2026-07-28,https://www.orascom.com/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #14. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
15,EFG Holding,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://www.efghldg.com/en/careers,Forbes Middle East 2026 ranked employer,"Employer target rank #15. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
16,Edita Food Industries,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,82,,B,2026-07-28,https://www.edita.com.eg/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #16. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
17,Golden Pyramids Plaza,Egypt,Egypt,Real Estate & Construction,Live Search,Priority 2,86,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Golden%20Pyramids%20Plaza&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #17. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
18,Valmore Holding,Egypt,Egypt,Automotive & Mobility,Live Search,Priority 2,84,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Valmore%20Holding&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #18. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
19,GB Corp,Egypt,Egypt,Automotive & Mobility,Career Page Available,Priority 2,84,Official employer careers,A,2026-07-28,https://gb-corporation.com/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #19. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
20,Crédit Agricole Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,81,,B,2026-07-28,https://www.ca-egypt.com/en/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #20. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
21,Juhayna Food Industries,Egypt,Egypt,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.juhayna.com/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #21. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
22,Beltone Holding,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,Official employer careers,A,2026-07-28,https://www.beltoneholding.com/careers,Forbes Middle East 2026 ranked employer,"Employer target rank #22. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
23,Ferchem Misr for Fertilizers & Chemicals,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Ferchem%20Misr%20for%20Fertilizers%20%26%20Chemicals&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #23. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
24,Egyptian Iron & Steel Company,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Egyptian%20Iron%20%26%20Steel%20Company&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #24. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
25,Suez Canal Bank,Egypt,Egypt,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Suez%20Canal%20Bank&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #25. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
26,Orascom Development Egypt,Egypt,Egypt,Real Estate & Construction,Live Search,Priority 2,85,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Orascom%20Development%20Egypt&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #26. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
27,Faisal Islamic Bank of Egypt,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Faisal+Islamic+Bank+of+Egypt&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #27. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
28,Suez Canal Company for Technology Settling,Egypt,Egypt,Diversified & Other,Live Search,Monitor,80,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Suez%20Canal%20Company%20for%20Technology%20Settling&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #28. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
29,Palm Hills Developments,Egypt,Egypt,Real Estate & Construction,Career Page Available,Priority 2,85,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Palm+Hills+Developments&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #29. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
30,Egyptian Chemical Industries (Kima),Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://careers.du.ae/,Forbes Middle East 2026 ranked employer,"Employer target rank #30. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
31,Egyptian Financial & Industrial Company,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://careers.du.ae/,Forbes Middle East 2026 ranked employer,"Employer target rank #31. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
32,Export Development Bank of Egypt,Egypt,Egypt,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Export%20Development%20Bank%20of%20Egypt&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #32. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
33,U Consumer Finance (Valu),Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=valU&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #33. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
34,SODIC,Egypt,Egypt,Real Estate & Construction,Career Page Available,Priority 2,85,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=SODIC&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #34. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
35,Raya Holding,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://rayacorp.com/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #35. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
36,Arabian Cement Company,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Arabian%20Cement%20Company&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #36. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
37,Sidi Kerir Petrochemicals Company,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,87,Official employer careers,A,2026-07-28,https://careers.roche.com/,Forbes Middle East 2026 ranked employer,"Employer target rank #37. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
38,Cleopatra Hospitals Group,Egypt,Egypt,Healthcare & Pharmaceuticals,Live Search,Priority 1,94,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Cleopatra%20Hospitals%20Group&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #38. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
39,TAQA Arabia,Egypt,Egypt,Energy & Utilities,Career Page Available,Priority 2,88,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=TAQA+Arabia&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #39. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
40,Sinai Cement,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Sinai%20Cement&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #40. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
41,Misr Cement Group,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Misr%20Cement%20Group&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #41. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
42,Qalaa Holdings,Egypt,Egypt,Diversified Holdings,Live Search,Priority 2,89,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Qalaa%20Holdings&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #42. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
43,The United Bank,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.ahliunited.com/bh/careers/,Forbes Middle East 2026 ranked employer,"Employer target rank #43. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
44,Misr Beni Suef Cement Company,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Misr%20Beni%20Suef%20Cement%20Company&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #44. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
45,Oriental Weavers,Egypt,Egypt,"Consumer, Retail & FMCG",Live Search,Monitor,81,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Oriental%20Weavers&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #45. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
46,Misr El-Gedida for Housing & Development,Egypt,Egypt,Real Estate & Construction,Live Search,Priority 2,85,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Misr%20El-Gedida%20for%20Housing%20%26%20Development&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #46. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
47,MM Group for Industry & International Trade,Egypt,Egypt,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://careers.du.ae/,Forbes Middle East 2026 ranked employer,"Employer target rank #47. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
48,EIPICO,Egypt,Egypt,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,B,2026-07-28,https://www.eipico.com.eg/careers,Forbes Middle East 2026 ranked employer,"Employer target rank #48. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
49,Egyptalum,Egypt,Egypt,Industrial & Manufacturing,Live Search,Priority 2,87,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Egyptalum&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #49. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
50,Eastern Company,Egypt,Egypt,"Consumer, Retail & FMCG",Live Search,Monitor,81,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Eastern%20Company&sortBy=DD,Forbes Middle East 2026 ranked employer,"Employer target rank #50. Forbes Middle East 2026 ranked employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
51,National Bank of Egypt,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,93,Official employer careers,A,2026-07-28,https://www.nbe.com.eg/NBE/E/#/EN/Careers,"Strategic private, public or multinational employer","Employer target rank #51. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
52,Banque Misr,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,83,Official employer careers,A,2026-07-28,https://www.banquemisr.com/en/Home/ABOUT-US/Careers,"Strategic private, public or multinational employer","Employer target rank #52. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
53,Arab African International Bank,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.aaib.com/careers,"Strategic private, public or multinational employer","Employer target rank #53. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
54,HSBC Egypt,Egypt,Egypt,Diversified & Other,Career Page Available,Monitor,80,,B,2026-07-28,https://www.hsbc.com/careers,"Strategic private, public or multinational employer","Employer target rank #54. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
55,Mashreq Egypt,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.mashreq.com/en/egypt/careers/,"Strategic private, public or multinational employer","Employer target rank #55. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
56,AlexBank,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=AlexBank&sortBy=DD,"Strategic private, public or multinational employer","Employer target rank #56. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
57,Al Baraka Bank Egypt,Egypt,Egypt,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Al%20Baraka%20Bank%20Egypt&sortBy=DD,"Strategic private, public or multinational employer","Employer target rank #57. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
58,saib,Egypt,Egypt,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=saib&sortBy=DD,"Strategic private, public or multinational employer","Employer target rank #58. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
59,EGBANK,Egypt,Egypt,Banking & Financial Services,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=EGBANK&sortBy=DD,"Strategic private, public or multinational employer","Employer target rank #59. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
60,Bank ABC Egypt,Egypt,Egypt,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.bank-abc.com/en/Careers,"Strategic private, public or multinational employer","Employer target rank #60. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
61,Vodafone Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://web.vodafone.com.eg/en/careers,"Strategic private, public or multinational employer","Employer target rank #61. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
62,Orange Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://orange.jobs/site/en-orange-egypt/index.htm,"Strategic private, public or multinational employer","Employer target rank #62. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
63,e& Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://www.etisalat.eg/portal/pages/about/careers.html,"Strategic private, public or multinational employer","Employer target rank #63. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
64,Microsoft Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,,B,2026-07-28,https://jobs.careers.microsoft.com/global/en/search,"Strategic private, public or multinational employer","Employer target rank #64. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
65,IBM Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,A,2026-07-28,https://www.ibm.com/careers,"Strategic private, public or multinational employer","Employer target rank #65. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
66,Oracle Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,B,2026-07-28,https://careers.oracle.com/,"Strategic private, public or multinational employer","Employer target rank #66. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
67,SAP Egypt,Egypt,Egypt,"Technology, Telecom & Digital",Career Page Available,Priority 1,99,Official employer careers,B,2026-07-28,https://jobs.sap.com/,"Strategic private, public or multinational employer","Employer target rank #67. Strategic private, public or multinational employer. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
