title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
Atlantis The Palm,Kerzner International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Kerzner International careers,A,2026-07-29,https://careers.kerzner.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Atlantis The Royal,Kerzner International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Kerzner International careers,A,2026-07-29,https://careers.kerzner.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Burj Al Arab Jumeirah,Jumeirah,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Conrad Dubai,Hilton,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel DIFC,Four Seasons,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Resort Dubai at Jumeirah Beach,Four Seasons,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Al Naseem,Jumeirah,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Beach Hotel,Jumeirah,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Emirates Towers,Jumeirah,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
One&Only Royal Mirage,Kerzner International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Kerzner International careers,A,2026-07-29,https://careers.kerzner.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
One&Only The Palm,Kerzner International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Kerzner International careers,A,2026-07-29,https://careers.kerzner.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Palace Downtown,Emaar Hospitality Group,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Emaar Hospitality Group careers,A,2026-07-29,https://www.emaarhospitality.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rove Downtown,Emaar Hospitality Group,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Emaar Hospitality Group careers,A,2026-07-29,https://www.emaarhospitality.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Ritz-Carlton, Dubai",Marriott International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Abu Dhabi,Marriott International,Abu Dhabi,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The St. Regis Dubai, The Palm",Marriott International,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Saadiyat Island Resort,Marriott International,Abu Dhabi,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Waldorf Astoria Dubai Palm Jumeirah,Hilton,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Bahrain Bay,Four Seasons,Manama,Bahrain,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Gulf of Bahrain Resort & Spa,Jumeirah,Zallaq,Bahrain,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Raffles Al Areen Palace Bahrain,Accor,Al Areen,Bahrain,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor careers,A,2026-07-29,https://careers.accor.com/global/en/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Ritz-Carlton, Bahrain",Marriott International,Manama,Bahrain,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Kuwait at Burj Alshaya,Four Seasons,Kuwait City,Kuwait,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Messilah Beach Hotel & Spa,Jumeirah,Kuwait City,Kuwait,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Kuwait,Marriott International,Kuwait City,Kuwait,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Waldorf Astoria Kuwait,Hilton,Kuwait City,Kuwait,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Al Bustan Palace, a Ritz-Carlton Hotel",Marriott International,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jumeirah Muscat Bay,Jumeirah,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Jumeirah careers,A,2026-07-29,https://www.jumeirah.com/en/careers,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
W Muscat,Marriott International,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Jeddah Marriott Hotel Madinah Road,Marriott International,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Six Senses Southern Dunes, The Red Sea",IHG Hotels & Resorts,The Red Sea,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,IHG Hotels & Resorts careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The Jeddah EDITION,Marriott International,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The Ritz-Carlton Jeddah,Marriott International,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Red Sea Resort,Marriott International,The Red Sea,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mandarin Oriental Doha,Mandarin Oriental,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Mandarin Oriental careers,A,2026-07-29,https://careers.mandarinoriental.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Marsa Malaz Kempinski, The Pearl – Doha",Kempinski,Doha,Qatar,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Kempinski careers,A,2026-07-29,https://careers.kempinski.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Mandarin Oriental Al Faisaliah, Riyadh",Mandarin Oriental,Riyadh,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Mandarin Oriental careers,A,2026-07-29,https://careers.mandarinoriental.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Emirates Palace Mandarin Oriental, Abu Dhabi",Mandarin Oriental,Abu Dhabi,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Mandarin Oriental careers,A,2026-07-29,https://careers.mandarinoriental.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Mandarin Oriental Jumeira, Dubai",Mandarin Oriental,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Mandarin Oriental careers,A,2026-07-29,https://careers.mandarinoriental.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Park Hyatt Dubai,Hyatt,Dubai,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Hyatt careers,A,2026-07-29,https://careers.hyatt.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rosewood Abu Dhabi,Rosewood Hotel Group,Abu Dhabi,United Arab Emirates,GCC,Hotels & Hospitality,Career Page Available,Priority 2,89,Rosewood Hotel Group careers,A,2026-07-29,https://careers.rosewoodhotelgroup.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Grand Hyatt Kuwait,Hyatt,Kuwait City,Kuwait,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Hyatt careers,A,2026-07-29,https://careers.hyatt.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Kempinski Hotel Muscat,Kempinski,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Kempinski careers,A,2026-07-29,https://careers.kempinski.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Mandarin Oriental, Muscat",Mandarin Oriental,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Mandarin Oriental careers,A,2026-07-29,https://careers.mandarinoriental.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Shangri-La Barr Al Jissah,Shangri-La,Muscat,Oman,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Shangri-La careers,A,2026-07-29,https://careers.shangri-la.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Park Hyatt Jeddah – Marina, Club and Spa",Hyatt,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Hyatt careers,A,2026-07-29,https://careers.hyatt.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rosewood Jeddah,Rosewood Hotel Group,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Rosewood Hotel Group careers,A,2026-07-29,https://careers.rosewoodhotelgroup.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Shangri-La Jeddah,Shangri-La,Jeddah,Saudi Arabia,GCC,Hotels & Hospitality,Career Page Available,Monitor,87,Shangri-La careers,A,2026-07-29,https://careers.shangri-la.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
