title,organization,city,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,notes
JW Marriott Hotel Cairo,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Le Méridien Cairo Airport,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Novotel Cairo Airport,Accor Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Novotel Cairo El Borg,Accor Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Renaissance Cairo Mirage City Hotel,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Sheraton Cairo Hotel & Casino,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Sofitel Cairo Nile El Gezirah,Accor Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Staybridge Suites Cairo Citystars,IHG Egypt,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Nile Ritz-Carlton, Cairo",Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
The St. Regis Cairo,Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"The Westin Cairo Golf Resort & Spa, Katameya Dunes",Marriott International,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Waldorf Astoria Cairo Heliopolis,Hilton,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,92,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Crowne Plaza West Cairo Arkan,IHG Egypt,Sheikh Zayed,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Alexandria at San Stefano,Four Seasons,Alexandria,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Hotel Cairo at The First Residence,Four Seasons,Giza,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Four Seasons Resort Sharm El Sheikh,Four Seasons,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Four Seasons careers,A,2026-07-29,https://www.fourseasons.com/en/careers/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hilton Alexandria Corniche,Hilton,Alexandria,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hilton Alexandria Green Plaza,Hilton,Alexandria,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hilton Luxor Resort & Spa,Hilton,Luxor,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Hilton careers,A,2026-07-29,https://jobs.hilton.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Marriott Mena House, Cairo",Marriott International,Giza,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mercure Hurghada Hotel,Accor Egypt,Hurghada,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mövenpick Hotel Cairo-Media City,Accor Egypt,6th of October City,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mövenpick Resort Aswan,Accor Egypt,Aswan,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mövenpick Resort El Quseir,Accor Egypt,El Quseir,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Mövenpick Resort Soma Bay,Accor Egypt,Soma Bay,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rixos Premium Alamein,Accor Egypt,New Alamein,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rixos Premium Seagate,Accor Egypt,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rixos Radamis Sharm El Sheikh,Accor Egypt,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Rixos Sharm El Sheikh,Accor Egypt,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Sheraton Montazah Hotel,Marriott International,Alexandria,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
"Sheraton Sharm Hotel, Resort, Villas & Spa",Marriott International,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Sheraton Soma Bay Resort,Marriott International,Soma Bay,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Marriott International careers,A,2026-07-29,https://careers.marriott.com/jobs,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Sofitel Legend Old Cataract Aswan,Accor Egypt,Aswan,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Swissôtel Sharm El Sheikh,Accor Egypt,Sharm El Sheikh,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,Accor Egypt careers,A,2026-07-29,https://careers.accor.com/global/en/egypt,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
voco Cairo Arabella Plaza,IHG Egypt,New Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,90,IHG Egypt careers,A,2026-07-29,https://careers.ihg.com/en/search-and-apply/?area=egypt&geobloc=egypt&page=1,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Kempinski Nile Hotel Cairo,Kempinski,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,89,Kempinski careers,A,2026-07-29,https://careers.kempinski.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Steigenberger Hotel El Tahrir Cairo,Steigenberger / H World,Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Priority 2,89,Steigenberger / H World careers,A,2026-07-29,https://www.hrewards.com/en/career,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Hyatt Regency Cairo West,Hyatt,6th of October City,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Monitor,87,Hyatt careers,A,2026-07-29,https://careers.hyatt.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Kempinski Hotel Soma Bay,Kempinski,Soma Bay,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Monitor,87,Kempinski careers,A,2026-07-29,https://careers.kempinski.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
Royal Maxim Palace Kempinski Cairo,Kempinski,New Cairo,Egypt,Egypt,Hotels & Hospitality,Career Page Available,Monitor,87,Kempinski careers,A,2026-07-29,https://careers.kempinski.com/,"Target technology, digital, IT, data, cybersecurity, infrastructure, enterprise applications, project management, transformation, procurement systems and technology-enabled operations roles. The hotel career route may cover multiple properties in the group."
