title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Mohamed Yousuf Naghi Motors,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,97,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Mohamed%20Yousuf%20Naghi%20Motors%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Tayer Motors,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,97,Official careers,A,2026-07-29,https://careers.altayer.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Saud Bahwan Automotive,Distributor & Dealer,Oman,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Saud%20Bahwan%20Automotive%20Oman&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Zubair Automotive Group,Distributor & Dealer,Oman,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.alzubair.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Abdullah Abdulghani & Bros.,Toyota & Lexus Distributor,Qatar,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://www.aabqatar.com/careers,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Aljomaih Automotive,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Aljomaih%20Automotive%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Juffali Automotive Company,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Juffali%20Automotive%20Company%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Zahid Tractor,Heavy Equipment & Mobility,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.zahid.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
AW Rostamani Automotive,Distributor & Mobility,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.awrostamani.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Masaood Automobiles,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,96,Official careers,A,2026-07-29,https://careers.almasaood.com/,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Arabian Automobiles Company,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Arabian%20Automobiles%20Company%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Gargash Enterprises,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Gargash%20Enterprises%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
W Motors,Vehicle Manufacturer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,96,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=W%20Motors%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Y.K. Almoayyed & Sons,Distributor & Dealer,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Y.K.%20Almoayyed%20%26%20Sons%20Bahrain&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Babtain Automotive,Distributor & Dealer,Kuwait,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Babtain%20Automotive%20Kuwait&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
OTE Group,Automotive Distributor,Oman,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://www.otegroup.com/careers,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Suhail Bahwan Automobiles,Distributor & Dealer,Oman,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Suhail%20Bahwan%20Automobiles%20Oman&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Mannai Automotive,Distributor & Dealer,Qatar,GCC,"Automotive, Mobility & Manufacturing",Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://www.mannai.com/careers,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Nasser Bin Khaled Automobiles,Distributor & Dealer,Qatar,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Nasser%20Bin%20Khaled%20Automobiles%20Qatar&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Saleh Al Hamad Al Mana,Distributor & Dealer,Qatar,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Saleh%20Al%20Hamad%20Al%20Mana%20Qatar&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Jazirah Vehicles Agencies,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Jazirah%20Vehicles%20Agencies%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Almajdouie Motors,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Almajdouie%20Motors%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Haji Husein Alireza & Co.,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Haji%20Husein%20Alireza%20%26%20Co.%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Samaaco Automotive,Luxury Brand Distributor,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Samaaco%20Automotive%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Wallan Trading Company,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Wallan%20Trading%20Company%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Habtoor Motors,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Habtoor%20Motors%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Nabooda Automobiles,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Nabooda%20Automobiles%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Emirates Motor Company,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Emirates%20Motor%20Company%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Juma Al Majid Automotive,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Juma%20Al%20Majid%20Automotive%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Trading Enterprises,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Trading%20Enterprises%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Haddad Motors,Mercedes-Benz Distributor,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Haddad%20Motors%20Bahrain&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Behbehani Brothers,Distributor & Dealer,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Behbehani%20Brothers%20Bahrain&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Euro Motors,Luxury Brand Distributor,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Euro%20Motors%20Bahrain&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ali Alghanim & Sons Automotive,Distributor & Dealer,Kuwait,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Ali%20Alghanim%20%26%20Sons%20Automotive%20Kuwait&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Behbehani Motors Company,Distributor & Dealer,Kuwait,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Behbehani%20Motors%20Company%20Kuwait&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
MHD ACERE,Automotive & Equipment Distributor,Oman,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=MHD%20ACERE%20Oman&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Towell Auto Centre,Distributor & Dealer,Oman,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Towell%20Auto%20Centre%20Oman&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Ghassan Motors,Luxury Brand Distributor,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Ghassan%20Motors%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Juffali Commercial Vehicles,Commercial Vehicle Distributor,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Juffali%20Commercial%20Vehicles%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
United Motors Company,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=United%20Motors%20Company%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Universal Motors Agencies,Distributor & Dealer,Saudi Arabia,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Universal%20Motors%20Agencies%20Saudi%20Arabia&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Ali & Sons Automotive,Distributor & Dealer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Ali%20%26%20Sons%20Automotive%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
M Glory Holding,Electric Vehicle Manufacturer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=M%20Glory%20Holding%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
NWTN,Electric Mobility Manufacturer,United Arab Emirates,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=NWTN%20United%20Arab%20Emirates&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Motorcity Bahrain,Distributor & Dealer,Bahrain,GCC,"Automotive, Mobility & Manufacturing",Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Motorcity%20Bahrain%20Bahrain&sortBy=DD,"Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer","Major GCC automotive distributor, dealer group, mobility company or vehicle manufacturer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
