title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
Amoun Pharmaceutical,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Amoun%20Pharmaceutical%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Danone Egypt,Food & Beverage Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://careers.danone.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Henkel Egypt,Consumer & Chemical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://www.henkel.com/careers,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
L'Oréal Egypt,Cosmetics Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://careers.loreal.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
MOPCO,Fertilizers & Petrochemicals,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,95,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=MOPCO%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Mars Egypt,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://careers.mars.com/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Mondelez Egypt,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Career Page Available,Priority 1,95,Official careers,A,2026-07-29,https://www.mondelezinternational.com/careers/,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Abu Qir Fertilizers,Fertilizers & Chemicals,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Abu%20Qir%20Fertilizers%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Beko Egypt,Consumer Appliances Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Beko%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
CEMEX Egypt,Cement & Building Materials,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=CEMEX%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Edita Food Industries,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Edita%20Food%20Industries%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Egyptian Steel,Steel Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Egyptian%20Steel%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Fresh Electric,Consumer Appliances Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Fresh%20Electric%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Global Napi Pharmaceuticals,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Global%20Napi%20Pharmaceuticals%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Heidelberg Materials Egypt,Cement & Building Materials,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Heidelberg%20Materials%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Juhayna Food Industries,Food & Beverage Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Juhayna%20Food%20Industries%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Lafarge Egypt,Cement & Building Materials,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Lafarge%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Medical Union Pharmaceuticals,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Medical%20Union%20Pharmaceuticals%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
SIDPEC,Petrochemicals,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=SIDPEC%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Suez Steel,Steel Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Suez%20Steel%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
AMOC,Energy & Refining,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=AMOC%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Egyptalum,Aluminium Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Egyptalum%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Electro Cable Egypt,Cable Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Electro%20Cable%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Huhtamaki Egypt,Packaging Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Huhtamaki%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Kandil Steel,Steel Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Kandil%20Steel%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
SEDICO Pharmaceutical,Pharmaceutical Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=SEDICO%20Pharmaceutical%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Universal Group,Consumer Appliances Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,93,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Universal%20Group%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Dr. Greiche,Glass Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Dr.%20Greiche%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
EFIC,Fertilizers & Chemicals,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=EFIC%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
El Marakby Steel,Steel Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=El%20Marakby%20Steel%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Flex Films Egypt,Packaging Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Flex%20Films%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
KIMA,Chemicals & Fertilizers,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=KIMA%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Oriental Weavers,Textiles & Carpets,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Oriental%20Weavers%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Suez Cement,Cement,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Suez%20Cement%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Titan Cement Egypt,Cement & Building Materials,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Titan%20Cement%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Arabian Cement Company,Cement,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Arabian%20Cement%20Company%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Domty,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Domty%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Lecico Egypt,Ceramics & Sanitary Ware,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Lecico%20Egypt%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Arabian Food Industries,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Arabian%20Food%20Industries%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Misr Cement Group,Cement,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Misr%20Cement%20Group%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Obour Land,Food Manufacturing,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Obour%20Land%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Misr Beni Suef Cement,Cement,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Misr%20Beni%20Suef%20Cement%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Sinai Cement,Cement,Egypt,Egypt,Manufacturing & Industrial,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Sinai%20Cement%20Egypt&sortBy=DD,Major Egyptian or multinational manufacturing and industrial employer,"Major Egyptian or multinational manufacturing and industrial employer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
