title,organization,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
GIG Bahrain,Composite Insurance,Bahrain,GCC,Insurance & InsurTech,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=GIG%20Bahrain%20Bahrain&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
GIG Saudi,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=GIG%20Saudi%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
MedGulf Saudi Arabia,Composite & Medical,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=MedGulf%20Saudi%20Arabia%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Walaa Cooperative Insurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 1,94,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Walaa%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Bahrain Kuwait Insurance Company,Composite Insurance,Bahrain,GCC,Insurance & InsurTech,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Bahrain%20Kuwait%20Insurance%20Company%20Bahrain&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Dubai Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,92,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Dubai%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Bahrain National Insurance,Composite Insurance,Bahrain,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Bahrain%20National%20Insurance%20Bahrain&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Solidarity Bahrain,Takaful,Bahrain,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Solidarity%20Bahrain%20Bahrain&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Ahleia Insurance,Composite Insurance,Kuwait,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Ahleia%20Insurance%20Kuwait&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Kuwait Insurance Company,Composite Insurance,Kuwait,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Kuwait%20Insurance%20Company%20Kuwait&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Liva Insurance Oman,Composite Insurance,Oman,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Liva%20Insurance%20Oman%20Oman&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Doha Insurance Group,Composite Insurance,Qatar,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Doha%20Insurance%20Group%20Qatar&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Arabian Shield Cooperative Insurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Arabian%20Shield%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Liva Insurance Saudi Arabia,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,91,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Liva%20Insurance%20Saudi%20Arabia%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Takaful International,Takaful,Bahrain,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Takaful%20International%20Bahrain&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Boubyan Takaful Insurance,Takaful,Kuwait,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Boubyan%20Takaful%20Insurance%20Kuwait&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Warba Insurance,Composite Insurance,Kuwait,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Warba%20Insurance%20Kuwait&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Qatar General Insurance & Reinsurance,Composite Insurance,Qatar,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Qatar%20General%20Insurance%20%26%20Reinsurance%20Qatar&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Qatar Islamic Insurance Group,Takaful,Qatar,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Qatar%20Islamic%20Insurance%20Group%20Qatar&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Wathba National Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Wathba%20National%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Dubai National Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Dubai%20National%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Hayah Insurance,Life & Medical,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Hayah%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
National General Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=National%20General%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Salama Islamic Arab Insurance,Takaful,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Salama%20Islamic%20Arab%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Watania International Holding,Takaful & Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,90,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Watania%20International%20Holding%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Dhofar Insurance,Composite Insurance,Oman,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Dhofar%20Insurance%20Oman&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Oman Qatar Insurance Company,Composite Insurance,Oman,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Oman%20Qatar%20Insurance%20Company%20Oman&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Takaful Oman,Takaful,Oman,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Takaful%20Oman%20Oman&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Khaleej Takaful Insurance,Takaful,Qatar,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Khaleej%20Takaful%20Insurance%20Qatar&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Salama Cooperative Insurance,Takaful,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Salama%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
RAK Insurance,Composite Insurance,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=RAK%20Insurance%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Takaful Emarat,Takaful,United Arab Emirates,GCC,Insurance & InsurTech,Live Search,Priority 2,89,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Takaful%20Emarat%20United%20Arab%20Emirates&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
First Takaful Insurance,Takaful,Kuwait,GCC,Insurance & InsurTech,Live Search,Priority 2,88,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=First%20Takaful%20Insurance%20Kuwait&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
ACIG,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,88,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=ACIG%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Al Etihad Cooperative Insurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,88,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Al%20Etihad%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Malath Cooperative Insurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,88,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Malath%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
Gulf General Cooperative Insurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,87,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=Gulf%20General%20Cooperative%20Insurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
United Cooperative Assurance,Composite Insurance,Saudi Arabia,GCC,Insurance & InsurTech,Live Search,Priority 2,87,Live employer job search,B,2026-07-29,https://www.linkedin.com/jobs/search/?keywords=United%20Cooperative%20Assurance%20Saudi%20Arabia&sortBy=DD,"Major GCC insurer, health insurer, takaful provider or reinsurer","Major GCC insurer, health insurer, takaful provider or reinsurer. Target technology strategy, enterprise architecture, digital transformation, data, cloud, cybersecurity, ERP/CRM, program delivery and technology-enabled operations roles."
