employer_rank,title,country,region,industry,availability_status,priority_tier,match_score,source,source_quality,last_checked,url,selection_basis,notes
15,Alpha Dhabi Holding,United Arab Emirates,GCC,Diversified Holdings,Live Search,Priority 1,90,LinkedIn company jobs search,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Alpha%20Dhabi%20Holding&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #15. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
16,Saudi Electricity Company,Saudi Arabia,GCC,Energy & Utilities,Career Page Available,Priority 2,89,,B,2026-07-28,https://careers.se.com.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #16. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
17,Riyad Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.riyadbank.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #17. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
18,National Bank of Kuwait,Kuwait,GCC,Banking & Financial Services,Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.nbk.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #18. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
19,Emaar Properties,United Arab Emirates,GCC,Real Estate & Construction,Career Page Available,Priority 2,86,,B,2026-07-28,https://careers.emaar.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #19. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
20,Dubai Electricity and Water Authority,United Arab Emirates,GCC,Energy & Utilities,Career Page Available,Priority 2,89,Official employer careers,A,2026-07-28,https://careers.dewa.gov.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #20. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
21,Saudi Awwal Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.sab.com/en/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #21. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
22,Dubai Islamic Bank,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.dib.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #22. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
23,Mashreq,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.mashreq.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #23. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
24,Maaden,Saudi Arabia,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Maaden&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #24. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
25,Alinma Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.alinma.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #25. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
26,Abu Dhabi Islamic Bank,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Abu+Dhabi+Islamic+Bank+Egypt&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #26. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
27,Banque Saudi Fransi,Saudi Arabia,GCC,Diversified & Other,Career Page Available,Monitor,80,Official employer careers,A,2026-07-28,https://careers.bsf.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #27. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
28,Arab National Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Arab+National+Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #28. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
29,Aldar Properties,United Arab Emirates,GCC,Real Estate & Construction,Career Page Available,Priority 2,85,,B,2026-07-28,https://careers.aldar.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #29. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
30,Emaar Development,United Arab Emirates,GCC,Real Estate & Construction,Career Page Available,Priority 2,85,Official employer careers,A,2026-07-28,https://careers.emaar.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #30. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
31,Qatar Islamic Bank,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Qatar+Islamic+Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #31. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
32,Ooredoo Group,Qatar,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,Official employer careers,A,2026-07-28,https://www.ooredoo.com/en/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #32. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
33,Borouge,United Arab Emirates,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Borouge&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #33. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
35,Industries Qatar,Qatar,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://careers.du.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #35. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
36,Bank Albilad,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.bankalbilad.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #36. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
37,ADNOC Drilling,United Arab Emirates,GCC,Diversified & Other,Career Page Available,Monitor,80,Official employer careers,A,2026-07-28,https://jobs.adnoc.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #37. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
38,Emirates Islamic,United Arab Emirates,GCC,Diversified & Other,Career Page Available,Monitor,80,Official employer careers,B,2026-07-28,https://www.emiratesgroupcareers.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #38. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
39,Mobily,Saudi Arabia,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://careers.mobily.com.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #39. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
40,Almarai,Saudi Arabia,GCC,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://careers.almarai.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #40. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
41,PureHealth Holding,United Arab Emirates,GCC,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,97,Official employer careers,A,2026-07-28,https://purehealth.ae/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #41. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
42,Commercial Bank of Dubai,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Commercial+Bank+of+Dubai&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #42. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
43,Commercial Bank of Qatar,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.cbq.qa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #43. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
44,NMDC Group,United Arab Emirates,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,Official employer careers,A,2026-07-28,https://www.nmdc-group.com/en/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #44. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
45,AD Ports Group,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://www.adportsgroup.com/en/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #45. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
46,AlRayan Bank,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.alrayan.com/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #46. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
47,ACWA Power,Saudi Arabia,GCC,Energy & Utilities,Career Page Available,Priority 2,88,Official employer careers,A,2026-07-28,https://careers.acwapower.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #47. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
48,Saudi Investment Bank,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.saib.com.sa/en/careers,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #48. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
49,ADNOC Distribution,United Arab Emirates,GCC,Energy & Utilities,Career Page Available,Priority 2,88,Official employer careers,A,2026-07-28,https://jobs.adnoc.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #49. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
50,SABIC Agri-Nutrients,Saudi Arabia,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,Official employer careers,A,2026-07-28,https://jobs.sabic.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #50. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
51,Bank Muscat,Oman,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.bankmuscat.com/en/about/careers/Pages/default.aspx,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #51. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
52,Dr. Sulaiman Al Habib Medical Group,Saudi Arabia,GCC,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,97,Official employer careers,A,2026-07-28,https://hmg.com/en/Pages/Careers.aspx,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #52. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
53,ADNOC Logistics & Services,United Arab Emirates,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://jobs.adnoc.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #53. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
54,Bank AlJazira,Saudi Arabia,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Bank+AlJazira&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #54. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
55,du,United Arab Emirates,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://careers.du.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #55. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
56,Boubyan Bank,Kuwait,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Boubyan+Bank&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #56. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
57,Dukhan Bank,Qatar,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://careers.du.ae/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #57. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
58,Bahri,Saudi Arabia,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://www.bahri.sa/en/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #58. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
59,Savola Group,Saudi Arabia,GCC,"Consumer, Retail & FMCG",Career Page Available,Monitor,81,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=Savola+Group&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #59. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
60,RAKBANK,United Arab Emirates,GCC,Banking & Financial Services,Career Page Available,Priority 1,90,,B,2026-07-28,https://www.linkedin.com/jobs/search/?keywords=RAKBANK&sortBy=DD,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #60. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
61,Omantel,Oman,GCC,"Technology, Telecom & Digital",Career Page Available,Priority 1,96,,B,2026-07-28,https://careers.omantel.om/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #61. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
62,Aluminium Bahrain,Bahrain,GCC,Industrial & Manufacturing,Career Page Available,Priority 2,87,,B,2026-07-28,https://www.albasmelter.com/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #62. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
63,Tawuniya,Saudi Arabia,GCC,Diversified & Other,Career Page Available,Monitor,80,Official employer careers,A,2026-07-28,https://careers.tawuniya.com.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #63. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
64,Agility,Kuwait,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,Official employer careers,A,2026-07-28,https://www.agility.com/en/careers/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #64. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
65,Bupa Arabia,Saudi Arabia,GCC,Healthcare & Pharmaceuticals,Career Page Available,Priority 1,94,Official employer careers,A,2026-07-28,https://careers.bupa.com.sa/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #65. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
66,Nakilat,Qatar,GCC,"Logistics, Transport & Aviation",Career Page Available,Priority 1,91,,B,2026-07-28,https://careers.nakilat.com/,GCC constituent from the Forbes Middle East 2025 listed-company universe,"Employer target rank #66. GCC constituent from the Forbes Middle East 2025 listed-company universe. Best-fit searches: CTO, CIO, enterprise architect, solution architect, digital transformation, healthcare technology, data, cloud, DevOps, program delivery and technology-enabled operations."
