id,title,organization,location,country,region,work_model,category,availability_status,published_date,last_checked,match_score,fit_tier,source,source_quality,url,fit_reason,notes
hit-job-008,"Senior Director, Analytics and Engineering",Conifer Health Solutions,"Dallas, Texas, United States",United States,North America,Hybrid,Healthcare Analytics Leadership,Available,2026-07-12,2026-07-26,94,Strong Fit,Conifer / Tenet Careers,A,https://jobs.tenethealth.com/job/dallas/senior-director-analytics/1127/95279239792,"Excellent data, analytics, engineering leadership, reporting, integration and healthcare operations alignment.",Strong role fit; US location and authorization require verification.
hit-job-022,"Digital, Data and Technology Professional Opportunities",GE HealthCare,Global,Multiple,Global,Multiple,Healthcare Digital Technology,Live Search,2026-07-26,2026-07-26,94,Strong Fit,GE HealthCare Careers,A,https://careers.gehealthcare.com/global/en/professionals,"Healthcare technology, data, digital platforms, professional leadership and operational transformation alignment.","Official GE HealthCare professional careers route; filter for digital, data, software, IT and program roles."
hit-job-011,R&D Domain Architect - Regulated Healthcare,Cognizant,"Chicago, Illinois, United States",United States,North America,Hybrid,Healthcare Enterprise Architecture,Available,2026-05-21,2026-07-26,93,Strong Fit,Cognizant Careers,A,https://careers.cognizant.com/global-en/jobs/00068949521/rd-domain-architect/,"Architecture strategy, regulated healthcare, portfolio governance, supply chain and enterprise transformation alignment.",Excellent domain fit but the posting states no visa sponsorship.
hit-job-012,Senior Program Manager,Wipro,"Dallas, Texas, United States",United States,North America,Full time,Technology Transformation Program Management,Available,2026-07-14,2026-07-26,93,Strong Fit,Wipro Careers,A,https://careers.wipro.com/job/Sr_-Program-Manager/178405-en_US/,"Large technical transformation delivery, cross-functional leadership, AI/automation and program governance match.",Strong responsibilities; verify geographic and authorization constraints.
hit-job-014,Enterprise Architect - Generative and Agentic AI,Cognizant,"Chennai, India",India,APAC,Hybrid,Enterprise Architecture & AI,Available,2026-06-03,2026-07-26,92,Strong Fit,Cognizant Careers,A,https://careers.cognizant.com/global-en/jobs/00068986434/program-manager/,"Enterprise-scale architecture, C-suite engagement, secure AI ecosystems and transformation strategy alignment.",The official page title is Program Manager but the role description is Enterprise Architect – Generative and Agentic AI.
hit-job-013,"Manager, Cybersecurity",Conifer Health Solutions,United States - Remote,United States,Remote,Remote,Healthcare Security Governance,Available,2026-07-22,2026-07-26,92,Strong Fit,Conifer / Tenet Careers,A,https://jobs.tenethealth.com/job/frisco/manager-cybersecurity-remote-based-in-the-us/1127/98118278048,"Governance, audits, vendor security, healthcare compliance and executive stakeholder-management alignment.",Strong governance fit; certifications and US eligibility should be reviewed.
hit-job-015,Enterprise Architect / Technical Architect - Agentic AI,Tata Consultancy Services,India / Global opportunities,India,Global,Multiple,Enterprise Architecture & AI,Live Search,2026-07-25,2026-07-26,92,Strong Fit,TCS Careers,A,https://www.tcs.com/careers/india/agentic-ai-nextgen-careers,"Enterprise architecture, technical architecture, AI, data, integration and transformation alignment.",Current TCS hiring campaign lists Enterprise Architects and Technical Architects; open the campaign and search current roles.
hit-job-016,GCP Enterprise Architect,Wipro,"Minneapolis, Minnesota, United States",United States,North America,Full time,Cloud Enterprise Architecture,Available,2026-04-30,2026-07-26,91,Strong Fit,Wipro Careers,A,https://careers.wipro.com/job/Minneapolis-GCP-Enterprise-Architect-USA-55401/1350903455/,"Cloud architecture, enterprise design, delivery guidance and client engagement alignment.",Strong technical match; confirm current availability and US eligibility.
hit-job-017,"Manager, Technical Consulting - Health / Insurance",Salesforce,"Bangalore or Hyderabad, India",India,APAC,Full time,Technical Consulting Leadership,Available,2026-03-09,2026-07-26,90,Strong Fit,Salesforce Careers,A,https://careers.salesforce.com/en/jobs/jr332873/manager-technical-consulting-salesforceplus-tech-archplusdomain-healthinsurancecommsfinssf-cpq-experience-mandatory/,"People leadership, architecture governance, enterprise customer delivery and healthcare-industry consulting match.",Requires deep Salesforce delivery and certification experience.
hit-job-018,Analytics Architect,Conifer Health Solutions,"Dallas, Texas, United States",United States,North America,Hybrid,Healthcare BI & Data Architecture,Available,2026-06-26,2026-07-26,89,Strong Fit,Conifer / Tenet Careers,A,https://jobs.tenethealth.com/job/dallas/analytics-architect-hybrid-in-dallas-tx/1127/89552429056,"Business intelligence, MS Fabric, reporting, dashboards, data modeling and healthcare operations alignment.",Direct fit with data warehouse and executive reporting experience; US location is the main constraint.
hit-job-019,Project Manager - Healthcare IT,Cognizant,United States - Remote,United States,Remote,Remote,Healthcare IT Project Delivery,Available,2026-06-15,2026-07-26,88,Strong Fit,Cognizant Careers,A,https://careers.cognizant.com/global-en/jobs/00068642241/project-manager-healthcare-it/,"Healthcare IT, integration delivery, risk tracking, milestones and cross-team coordination alignment.",The posting is remote but restricted to qualified applicants in the United States.
hit-job-020,Project Manager,Epic Systems,"Madison, Wisconsin, United States",United States,North America,On-site with travel,Healthcare Software Implementation,Available,2026-07-25,2026-07-26,87,Good Fit,Epic Careers,A,https://careers.epic.com/jobs/project-manager/,"Healthcare-system implementation, organizational change, executive communication and go-live leadership alignment.",Epic commonly requires relocation to the role location and regular customer travel.
hit-job-023,Senior Engineer - Healthcare Applications,Conifer Health Solutions,United States - Remote,United States,Remote,Remote,Application Architecture & Engineering,Available,2026-07-05,2026-07-26,83,Good Fit,Conifer / Tenet Careers,A,https://jobs.tenethealth.com/job/frisco/senior-engineer-remote-based-in-us/1127/91964927984,"Application architecture, cloud/on-premises systems, Agile delivery and technical mentoring alignment.",Technically relevant but below your current leadership seniority; US restriction applies.
hit-job-024,Technical Solutions Engineer,Epic Systems,"Madison, Wisconsin, United States",United States,North America,On-site,Healthcare Technical Services,Available,2026-07-25,2026-07-26,75,Moderate Fit,Epic Careers,A,https://careers.epic.com/jobs/technical-solutions-engineer/,"Healthcare software troubleshooting and customer partnership are relevant, but the role is below your seniority.",Included for completeness but ranked below senior architecture and leadership roles.
