id,title,arabic_name,category,region,country,profile_relevance,recommendation,availability_status,verification_level,url,use_case,notes
linkedin-post-platform-011,Khamsat,خمسات,Arabic Microservices Marketplace,Arab Region / Remote,MENA,60,Secondary,Active Platform,Official,https://khamsat.com/,"Sell focused digital, technology advisory, architecture-review, dashboard and documentation services.",Microservice marketplace; relevant mainly for small consulting packages and additional income.
linkedin-post-platform-012,Sabbar,صبّار,Saudi Recruitment Platform,Saudi Arabia,Saudi Arabia,58,Secondary,Active Platform,Official,https://sabbar.com/en/jobs,"Saudi full-time, part-time and flexible vacancies, including IT, project management and healthcare categories.","Mostly retail, service and operational roles; filter carefully for IT, software and project-management positions."
linkedin-post-platform-013,Tars Jobs,منصة ترس,Saudi Job Announcements,Saudi Arabia,Saudi Arabia,55,Secondary,Active Platform,Official / Recheck Each Job,https://jbscv.com/,"Government, private-sector and general Saudi vacancy announcements.",Vacancy-announcement aggregator. Verify every employer and application route before submitting personal data.
linkedin-post-platform-014,Taleek,طليق,Language Learning Tool,Global,Global,52,Career Support,Active Tool,Official,https://taleek.com/,Improve English and other languages for interviews and international opportunities.,"Career-support and language-learning tool, not a job platform."
linkedin-post-platform-015,PTway,بي تي واي,Saudi Part-Time Work,Saudi Arabia,Saudi Arabia,48,Low Priority,Active Platform,Official,https://ptway.net/,"Part-time, daily, contract and flexible roles including programming, operations and UX/UI.",Primarily part-time and flexible work; senior executive relevance is limited.
linkedin-post-platform-016,Shiftat,شفتات,Saudi Recruitment & Flexible Work,Saudi Arabia,Saudi Arabia,45,Low Priority,Active Platform,Official,https://shiftat.sa/,Saudi vacancies and recruitment support across sectors and cities.,Mainly recent-graduate and intermediate-experience recruitment; monitor only for technology leadership exceptions.
linkedin-post-platform-017,AS3A,أسعى,Saudi Flexible Work,Saudi Arabia / Egypt,Saudi Arabia,44,Low Priority,Active Platform,Official,https://as3a.com/,"Flexible, seasonal, shift-based and part-time employment.",Strong flexible-work platform but limited alignment with senior enterprise-technology roles.
linkedin-post-platform-018,Marn,مرن,Saudi Flexible Staffing,Saudi Arabia,Saudi Arabia,42,Low Priority,Active Platform,Official,https://marn.io/,"Hourly, seasonal, part-time and full-time staffing in retail, hospitality, logistics, healthcare and other sectors.",Monitor only for IT management or technology-enabled operations roles.
linkedin-post-platform-019,Wardiyyat,ورديات,Saudi Shift & Flexible Work,Saudi Arabia,Saudi Arabia,38,Low Priority,Active Platform,Official,https://wardiyyat.com/,"Temporary and part-time shifts across retail, hospitality, logistics, events and other industries.","Useful for flexible shift work, but not a primary source for senior technology leadership roles."
linkedin-post-platform-020,Part Time Platform,منصة بارت تايم,Saudi Part-Time Recruitment,Saudi Arabia,Saudi Arabia,25,Archive / Recheck,Not Verified,Historical / LinkedIn Indexed,https://www.linkedin.com/company/part-time-job-platform/,Historical part-time and flexible recruitment platform.,The previously associated par-time.com domain appears inactive; use the LinkedIn presence only and recheck before relying on it.
