id,title,subtitle,type,region,country,location,fit,status,posted,checked,notes,source,url,africaCategory,africaRegion,headquarters,fundingModel,operatingStatus,careersLinkQuality,organizationClass,activeInCountry,regionalOffice
21,African Legal Support Facility,ALSF,Pan-African Institution,Africa-wide,Côte d’Ivoire,Côte d’Ivoire,Medium,Needs Verification,,2026-07-20,"Legal, institutional, project finance and operational roles. Directory entry; verify current openings on the official source.",Official careers page,https://www.aflsf.org/careers,African-led Organizations,Pan-African,Côte d’Ivoire,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,African-led Organizations,Not verified — confirm on the official country page,Africa-wide / not specified
22,African Water Facility,AWF,Pan-African Institution,Africa-wide,Côte d’Ivoire,Côte d’Ivoire,High,Needs Verification,,2026-07-20,"Water programmes, project delivery, data and development operations. Directory entry; verify current openings on the official source.",Official organization website,https://www.afdb.org/en/topics-and-sectors/initiatives-partnerships/african-water-facility,African-led Organizations,Pan-African,Côte d’Ivoire,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,African-led Organizations,Not verified — confirm on the official country page,Africa-wide / not specified
23,African Institute for Economic Development and Planning,IDEP,UN & Regional Institution,Africa-wide,Senegal,Senegal,High,Needs Verification,,2026-07-20,"Economic planning, training, data and regional development. Directory entry; verify current openings on the official source.",Official organization website,https://www.uneca.org/idep,Governance & Development,West Africa,Senegal,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Governance & Development,Not verified — confirm on the official country page,Senegal
24,African Organisation of English-speaking Supreme Audit Institutions,AFROSAI-E,Governance Institution,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Public-sector governance, audit, digital transformation and capacity development. Directory entry; verify current openings on the official source.",Official organization website,https://afrosai-e.org.za/,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
25,African Tax Administration Forum,ATAF,Pan-African Institution,Africa-wide,South Africa,South Africa,High,Needs Verification,,2026-07-20,"Tax administration, digital government, data and institutional systems. Directory entry; verify current openings on the official source.",Official careers page,https://www.ataftax.org/careers,Technology & Civic Tech,Southern Africa,South Africa,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,South Africa
26,United Nations Development Programme,UNDP,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital transformation, governance, data, programme technology and development. Directory entry; verify current openings on the official source.",Official careers page,https://www.undp.org/careers,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
27,United Nations Children’s Fund,UNICEF,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Technology for development, data, health, education and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.unicef.org/careers,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
28,World Health Organization,WHO,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital health, health information systems, data, IT and public health. Directory entry; verify current openings on the official source.",Official careers page,https://www.who.int/careers,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
29,World Food Programme,WFP,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Supply chain, digital assistance, data, enterprise technology and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.wfp.org/careers,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
30,United Nations High Commissioner for Refugees,UNHCR,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Refugee response, digital services, data, IT and field operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.unhcr.org/careers.html,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
31,International Organization for Migration,IOM,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Migration programmes, data, digital systems, health and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.iom.int/careers,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
32,United Nations Office for Project Services,UNOPS,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Infrastructure, procurement, project delivery, digital systems and operations. Directory entry; verify current openings on the official source.",Official careers page,https://jobs.unops.org/,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
33,United Nations Population Fund,UNFPA,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Population data, reproductive health, digital systems and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.unfpa.org/jobs,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
34,UN Women,United Nations Entity for Gender Equality,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Gender programmes, data, digital inclusion and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.unwomen.org/en/about-us/employment,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
35,Food and Agriculture Organization,FAO,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Agriculture, data, digital innovation, information systems and programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.fao.org/employment/home/en,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
36,International Fund for Agricultural Development,IFAD,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Rural development, digital agriculture, programme management and data. Directory entry; verify current openings on the official source.",Official careers page,https://www.ifad.org/en/careers,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
37,International Labour Organization,ILO,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Employment, digital labour, programme management, data and IT. Directory entry; verify current openings on the official source.",Official careers page,https://jobs.ilo.org/,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
38,"United Nations Educational, Scientific and Cultural Organization",UNESCO,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Education technology, science, culture, data and programme roles. Directory entry; verify current openings on the official source.",Official careers page,https://careers.unesco.org/,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
39,United Nations Environment Programme,UNEP,UN & Multilateral,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Environment, climate data, digital solutions and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.unep.org/work-with-us,UN & Multilateral,East Africa,Kenya,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Kenya
40,UN-Habitat,United Nations Human Settlements Programme,UN & Multilateral,Africa-wide,Kenya,Kenya,High,Needs Verification,,2026-07-20,"Urban development, GIS, data, digital cities and programme delivery. Directory entry; verify current openings on the official source.",Official careers page,https://unhabitat.org/join-us,UN & Multilateral,East Africa,Kenya,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Kenya
41,Joint United Nations Programme on HIV/AIDS,UNAIDS,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Health data, digital programmes, policy and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.unaids.org/en/whoweare/jobs,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
42,United Nations Office for the Coordination of Humanitarian Affairs,OCHA,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian coordination, information management, data and technology. Directory entry; verify current openings on the official source.",Official careers page,https://careers.un.org/,UN & Multilateral,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
43,International Telecommunication Union,ITU,UN & Multilateral,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Digital development, connectivity, policy, standards and technology. Directory entry; verify current openings on the official source.",Official careers page,https://www.itu.int/en/careers/Pages/default.aspx,UN & Multilateral,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,UN & Multilateral,Not verified — confirm on the official country page,Africa-wide / not specified
44,World Bank Group,International development finance,Development Finance,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"GovTech, digital development, health systems, data and enterprise technology. Directory entry; verify current openings on the official source.",Official careers page,https://www.worldbank.org/en/about/careers,Health & Digital Health,Pan-African,Multiple African countries,Multilateral / member-funded,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
45,International Finance Corporation,IFC — World Bank private-sector arm,Development Finance,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Private-sector development, digital finance, infrastructure and technology. Directory entry; verify current openings on the official source.",Official careers page,https://www.ifc.org/en/about/careers,Technology & Civic Tech,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Technology & Civic Tech,Not verified — confirm on the official country page,Africa-wide / not specified
46,International Rescue Committee,IRC,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, data, technology, operations and country leadership. Directory entry; verify current openings on the official source.",Official careers page,https://careers.rescue.org/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
47,Norwegian Refugee Council,NRC,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Displacement response, information management, digital systems and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.nrc.no/career/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
48,Danish Refugee Council,DRC,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, data, IT, operations and regional management. Directory entry; verify current openings on the official source.",Official careers page,https://job.drc.ngo/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
49,Save the Children International,SCI,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Child-focused programmes, technology, data, health, education and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.savethechildren.net/careers,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
50,World Vision International,WVI,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Development programmes, digital solutions, data, supply chain and leadership. Directory entry; verify current openings on the official source.",Official careers page,https://www.wvi.org/careers,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
51,CARE International,CARE,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian response, gender, programme technology, data and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.care-international.org/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
52,Oxfam International,Oxfam,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian and development programmes, data, systems and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.oxfam.org/en/take-action/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
53,Mercy Corps,International NGO,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Resilience, economic development, technology, data and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.mercycorps.org/careers,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
54,Médecins Sans Frontières,MSF,Medical Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,Medium,Needs Verification,,2026-07-20,"Medical programmes, health information, logistics, IT and operations. Directory entry; verify current openings on the official source.",Official organization website,https://www.msf.org/work-msf,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,General website / careers not confirmed,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
55,International Committee of the Red Cross,ICRC,Humanitarian Organization,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian operations, ICT, data protection, logistics and field management. Directory entry; verify current openings on the official source.",Official careers page,https://careers.icrc.org/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
56,International Federation of Red Cross and Red Crescent Societies,IFRC,Humanitarian Organization,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Disaster response, digital transformation, information management and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.ifrc.org/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
57,Catholic Relief Services,CRS,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Development, humanitarian response, ICT4D, data and programme management. Directory entry; verify current openings on the official source.",Official careers page,https://www.crs.org/about/careers,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
58,Action Against Hunger,ACF,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Nutrition, health, WASH, data, operations and humanitarian programmes. Directory entry; verify current openings on the official source.",Official careers page,https://www.actionagainsthunger.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
59,Concern Worldwide,International NGO,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, digital data, monitoring and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://jobs.concern.net/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
60,GOAL Global,International NGO,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian programmes, health, resilience, technology and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.goalglobal.org/careers/,Health & Digital Health,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Health & Digital Health,Not verified — confirm on the official country page,Africa-wide / not specified
61,ACTED,Agency for Technical Cooperation and Development,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Humanitarian response, programme management, information systems and logistics. Directory entry; verify current openings on the official source.",Official careers page,https://www.acted.org/en/join-us/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
62,Humanity & Inclusion,Handicap International,Humanitarian NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Disability inclusion, humanitarian programmes, data and operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.hi.org/en/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
63,Plan International,International development organization,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Children, gender equality, digital programmes, data and country operations. Directory entry; verify current openings on the official source.",Official careers page,https://jobs.plan-international.org/,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
64,SOS Children’s Villages International,Child development organization,Humanitarian & Development NGO,Africa-wide,Multiple African countries,Multiple African countries,High,Needs Verification,,2026-07-20,"Child protection, education, digital systems and programme operations. Directory entry; verify current openings on the official source.",Official careers page,https://www.sos-childrensvillages.org/jobs,Humanitarian,Pan-African,Multiple African countries,Not specified — verify from official reports,Directory entry — current country operations require official verification,Direct careers page,Humanitarian,Not verified — confirm on the official country page,Africa-wide / not specified
